feature,cls_en_beta,cls_en_abs_beta,cls_xgb_mean_abs_shap,cls_en_rank,cls_xgb_rank
nuc_bfp_start,0.24721798484634291,0.24721798484634291,0.69603145,1,2
nuc_area_mean,0.21592101238100206,0.21592101238100206,0.47081554,2,4
nuc_area_slope,-0.14392578849450552,0.14392578849450552,0.22425425,3,26
gfp_corr_start,0.12638261661307781,0.12638261661307781,0.32307473,4,12
solidity_mean,-0.11748897731580205,0.11748897731580205,0.3433202,5,10
area_mean,0.11724521338158812,0.11724521338158812,0.26681527,6,21
gfp_at_f16,0.11178184892276001,0.11178184892276001,0.23731592,7,25
gfp_corr_mean,0.11119025532097211,0.11119025532097211,0.28395864,8,16
bfp_delta_mean,-0.1028584525731088,0.1028584525731088,0.35877773,9,8
nuc_circ_mean,-0.07299433698077687,0.07299433698077687,0.34562954,10,9
area_start,-0.06322138971956913,0.06322138971956913,0.27384672,11,19
nuc_ratio_mean,-0.05930752451046564,0.05930752451046564,0.24406286,12,24
area_slope,0.05666820100217368,0.05666820100217368,0.28033742,13,17
nuc_bfp_mean,0.05454093249598541,0.05454093249598541,0.1864246,14,29
gfp_corr_slope,0.051194902749070036,0.051194902749070036,0.389194,15,6
nuc_bfp_sd,-0.04474915056885804,0.04474915056885804,0.6971938,16,1
gfp_ratio_slope,0.04307361781802532,0.04307361781802532,0.2568671,17,22
gfp_ratio_start,-0.03849832569124005,0.03849832569124005,0.1383714,18,31
nuc_ratio_slope,-0.03752868692831605,0.03752868692831605,0.22422953,19,27
nuc_circ_sd,0.03055129871833949,0.03055129871833949,0.27540177,20,18
bf_ctrst_mean,-0.02982214579386821,0.02982214579386821,0.14118613,21,30
gfp_corr_sd,0.008383049502743649,0.008383049502743649,0.30116966,22,14
bfp_at_f16,0.0,0.0,0.25474355,28,23
bf_ctrst_sd,0.0,0.0,0.50096196,28,3
area_sd,0.0,0.0,0.27381447,28,20
gfp_ratio_sd,0.0,0.0,0.37569073,28,7
gfp_ratio_mean,0.0,0.0,0.46747276,28,5
gfp_ratio_max,0.0,0.0,0.21517493,28,28
gfp_delta_mean,0.0,0.0,0.1379795,28,32
nuc_bfp_slope,0.0,0.0,0.32210988,28,13
gfp_snr_sd,0.0,0.0,0.32863393,28,11
shape_idx_mean,0.0,0.0,0.09242189,28,33
solidity_sd,0.0,0.0,0.2859924,28,15
