,Regression,,Classification,
feature,Beta,mean_abs_SHAP,Beta,mean_abs_SHAP
Nucleus_BFP_start,-0.137488245,65.56136,0.247217985,0.69603145
Nucleus_area_mean,-0.121515967,77.46176,0.215921012,0.47081554
Nucleus_circ_mean,0.068205641,83.85766,-0.072994337,0.34562954
GFP_start,-0.067481122,68.08368,0.126382617,0.32307473
Solidity_mean,0.047238677,15.680313,-0.117488977,0.3433202
Nucleus_BFP_mean,-0.032711947,17.68499,0.054540932,0.1864246
GFP/BFP_start,0.02785173,70.54063,-0.038498326,0.1383714
Nucleus_area_slope,0.021687265,26.51204,-0.143925788,0.22425425
Nucleus/Cell_slope,0.013065279,27.128502,-0.037528687,0.22422953
Brightfield_ctrst_mean,0.012093214,34.997177,-0.029822146,0.14118613
