orig_dim,beta,abs_beta
5,-5.810646867835629,5.810646867835629
163,-4.501028299028519,4.501028299028519
8,4.0662063002931434,4.0662063002931434
124,3.6267564389432043,3.6267564389432043
209,-2.477756691800304,2.477756691800304
173,2.460830539253657,2.460830539253657
186,-1.9904610667173064,1.9904610667173064
87,-1.5593445970204152,1.5593445970204152
61,1.4065256553874177,1.4065256553874177
254,-1.385056672752073,1.385056672752073
71,1.3435077854714064,1.3435077854714064
2,1.2949338976823155,1.2949338976823155
202,1.063292636953177,1.063292636953177
28,-0.9682111858039543,0.9682111858039543
134,0.728705188171418,0.728705188171418
136,-0.6060592603170109,0.6060592603170109
225,-0.5281407229236758,0.5281407229236758
238,-0.49486801435738215,0.49486801435738215
241,-0.38496386366571383,0.38496386366571383
142,0.08227186158630337,0.08227186158630337
