rank,dim,avg_rank,abs_beta_reg,abs_beta_cls
1,8,64.75,0.0,2.4036268226395747
2,61,65.25,0.0,2.1708916033939922
3,124,65.75,0.0,1.98884220085701
4,186,66.25,0.0,1.727169155405841
5,2,66.75,0.0,1.707899640701623
6,209,67.25,0.0,1.6861691819244864
7,202,67.75,0.0,1.5972629068518427
8,87,68.25,0.0,1.4230238517032319
9,173,68.75,0.0,1.3701336035720524
10,28,69.25,0.0,1.3603031118773934
11,134,69.75,0.0,1.3194048779920944
12,142,70.25,0.0,1.3078017457099953
13,238,70.75,0.0,1.307219540297717
14,5,71.25,0.0,1.2722350837726633
15,225,71.75,0.0,1.1780036726544982
16,136,72.25,0.0,1.140536684382103
17,71,72.75,0.0,1.1166181974724854
18,241,73.25,0.0,1.1127238388248377
19,163,73.75,0.0,1.095752151559557
20,254,74.25,0.0,1.0881792946224373
