track_id,gfp_onset_frame
1001,39
1003,38
1012,38
1015,38
1024,47
1026,48
1027,47
1029,46
1034,49
1038,50
1044,40
1046,53
106,20
1071,47
1089,51
1093,48
1110,49
1113,49
113,20
1130,52
1133,44
1134,52
1141,52
1144,51
1149,41
1154,47
116,20
1166,51
1173,43
1182,53
1191,47
1193,40
1196,49
1198,49
1206,51
1210,50
1214,47
1225,50
123,21
1231,47
1239,49
1240,51
1242,46
1257,53
1259,53
1265,52
1295,42
1302,46
1307,47
1321,46
1328,49
1332,49
1339,49
1343,43
139,21
1397,46
140,21
1418,56
1425,57
143,21
1434,46
1436,54
144,21
1461,51
1462,57
1467,55
1469,56
1484,56
1500,55
1501,56
153,22
1539,61
1550,59
1557,54
1569,60
1575,59
1582,59
1590,59
1591,59
1593,54
1595,60
1598,59
160,23
1603,56
1612,55
1616,59
1620,60
1641,60
1668,54
1680,56
1707,59
174,22
1799,65
1803,65
1821,63
1838,64
1844,65
1882,65
1906,63
1928,66
1933,66
1937,66
1943,66
1959,67
1962,68
1967,67
1973,69
1981,67
1984,68
1994,69
2002,67
2003,69
2012,69
2013,68
2032,67
2049,67
2051,70
2062,70
2065,70
2077,71
2109,72
2112,72
2140,73
215,24
2152,75
219,24
2192,75
2197,75
221,24
2215,76
2216,76
2220,76
2224,76
2225,76
2255,74
2260,78
2273,79
2279,79
230,24
2307,79
2311,79
2314,79
2345,80
2346,80
2348,81
2356,81
2359,81
2362,81
2366,80
2383,80
2385,82
2387,82
2395,82
2420,82
2432,84
2450,83
2452,84
2458,84
2475,83
2490,86
2493,85
2530,86
2533,85
2544,88
2603,89
2621,90
2654,91
2666,92
2668,92
267,25
27,14
2705,93
2731,95
2736,95
2756,96
2757,96
278,25
28,14
2813,98
2815,98
2816,98
283,25
2839,99
2855,101
2863,99
2866,101
2870,101
2879,101
2895,99
2905,99
2918,103
2921,102
2927,103
2947,102
2963,104
2982,103
2988,105
3003,105
3050,109
3054,109
3060,109
3099,111
3103,106
3112,113
3113,114
3135,113
3149,114
3165,112
3172,113
3199,117
3228,118
3240,118
326,26
327,26
3272,119
3275,119
3277,119
328,26
3299,120
3300,121
3312,121
3318,120
3330,122
3338,122
3355,123
3373,124
3387,126
3390,125
3397,127
3421,126
3442,128
347,27
3472,129
3478,129
3491,128
3492,130
3521,132
3540,131
3555,134
3556,133
356,28
3560,133
360,27
361,28
363,28
3631,133
3684,136
3718,138
3724,139
375,27
3774,141
3777,141
3827,144
3828,144
383,28
3835,144
384,27
3853,145
3858,146
3859,145
3887,149
3906,147
3954,150
4007,153
401,29
4011,153
4045,155
4048,156
4054,155
4092,157
4114,159
4117,157
4133,159
418,29
4209,162
422,29
4242,164
4244,164
427,29
4278,166
432,30
4323,171
4342,168
4349,169
4358,169
439,30
4452,175
447,30
467,30
469,30
470,30
503,31
504,34
509,31
511,32
514,33
527,34
53,17
536,34
538,32
541,33
544,31
549,33
551,33
564,34
573,34
581,34
583,32
590,31
593,34
60,18
601,33
602,33
628,35
637,32
645,35
659,35
662,35
667,35
67,18
680,36
69,18
694,36
695,36
708,32
714,37
717,37
726,37
73,18
731,37
74,18
740,37
742,37
744,37
748,33
756,32
772,45
775,39
786,44
787,38
798,44
804,38
807,41
808,38
810,42
817,45
818,39
825,40
836,39
838,39
848,39
854,39
856,42
861,42
870,43
874,38
880,40
881,45
885,38
891,39
893,39
896,43
898,39
900,43
906,40
907,39
913,43
915,44
922,39
932,38
96,20
967,45
968,45
973,44
992,39
