dataset,arch,mode,lambda,source,n,n_fast,auc,ap,sens,spec,bal_acc,mcc,pearson_r,r2
A2,dual_branch,multitask,0.3,cls_head,274,54,0.625,0.333,0.704,0.486,0.595,0.152,,
A2,dual_branch,multitask,0.3,reg_head_thresholded,274,54,0.601,0.318,0.056,0.986,0.521,0.114,0.206,0.033
A2,dual_branch,multitask,1.0,cls_head,274,54,0.655,0.313,0.759,0.518,0.639,0.221,,
A2,dual_branch,multitask,1.0,reg_head_thresholded,274,54,0.65,0.303,0.167,0.914,0.54,0.105,0.196,-0.052
A2,dual_branch,multitask,3.0,cls_head,274,54,0.655,0.275,0.907,0.423,0.665,0.274,,
A2,dual_branch,multitask,3.0,reg_head_thresholded,274,54,0.628,0.268,0.241,0.8,0.52,0.04,0.05,-0.808
A2,early_fusion,multitask,1.0,cls_head,274,54,0.675,0.353,0.704,0.6,0.652,0.242,,
A2,early_fusion,multitask,1.0,reg_head_thresholded,274,54,0.686,0.366,0.111,0.977,0.544,0.179,0.338,0.111
A2,dual_branch,single_task,,cls_head,274,54,0.699,0.389,0.593,0.673,0.633,0.217,,
A3,dual_branch,multitask,0.3,cls_head,223,51,0.56,0.272,0.98,0.035,0.508,0.037,,
A3,dual_branch,multitask,0.3,reg_head_thresholded,223,51,0.511,0.258,0.196,0.82,0.508,0.017,0.108,-0.198
A3,dual_branch,multitask,1.0,cls_head,223,51,0.537,0.269,0.98,0.035,0.508,0.037,,
A3,dual_branch,multitask,1.0,reg_head_thresholded,223,51,0.516,0.258,0.196,0.802,0.499,-0.002,0.087,-0.665
A3,dual_branch,multitask,3.0,cls_head,223,51,0.548,0.275,0.784,0.227,0.506,0.011,,
A3,dual_branch,multitask,3.0,reg_head_thresholded,223,51,0.529,0.268,0.216,0.802,0.509,0.019,0.116,-0.54
A3,early_fusion,multitask,1.0,cls_head,223,51,0.544,0.287,0.961,0.14,0.55,0.131,,
A3,early_fusion,multitask,1.0,reg_head_thresholded,223,51,0.538,0.285,0.02,1.0,0.51,0.123,0.147,-0.0
A3,dual_branch,single_task,,cls_head,223,51,0.545,0.257,0.784,0.227,0.506,0.011,,
A2+A3,dual_branch,multitask,0.3,cls_head,497,105,0.589,0.309,0.8,0.306,0.553,0.096,,
A2+A3,dual_branch,multitask,0.3,reg_head_thresholded,497,105,0.573,0.305,0.01,1.0,0.505,0.087,0.166,0.022
A2+A3,dual_branch,multitask,1.0,cls_head,497,105,0.59,0.311,0.876,0.151,0.513,0.031,,
A2+A3,dual_branch,multitask,1.0,reg_head_thresholded,497,105,0.597,0.306,0.048,0.985,0.516,0.09,0.164,-0.044
A2+A3,dual_branch,multitask,3.0,cls_head,497,105,0.539,0.245,0.895,0.133,0.514,0.034,,
A2+A3,dual_branch,multitask,3.0,reg_head_thresholded,497,105,0.552,0.248,0.448,0.589,0.518,0.031,0.045,-3.805
A2+A3,early_fusion,multitask,1.0,cls_head,497,105,0.629,0.3,0.743,0.446,0.595,0.157,,
A2+A3,early_fusion,multitask,1.0,reg_head_thresholded,497,105,0.628,0.322,0.067,0.985,0.526,0.131,0.23,0.05
A2+A3,dual_branch,single_task,,cls_head,497,105,0.615,0.331,0.876,0.293,0.585,0.158,,
