dataset,arch,mode,lambda,track_id,y_cls,oof_prob,y_reg,oof_reg_min
A2,dual_branch,multitask,0.3,15,1,0.4840892255306244,315.010498046875,1881.3695068359375
A2,dual_branch,multitask,0.3,31,0,0.366601824760437,1860.0618896484375,2289.671630859375
A2,dual_branch,multitask,0.3,38,0,0.4864029288291931,1635.054443359375,1883.353271484375
A2,dual_branch,multitask,0.3,43,1,0.5208019018173218,105.00349426269531,1946.935302734375
A2,dual_branch,multitask,0.3,46,0,0.5040609240531921,1620.053955078125,1839.1204833984375
A2,dual_branch,multitask,0.3,54,0,0.4861394762992859,1965.0654296875,1853.9510498046875
A2,dual_branch,multitask,0.3,57,0,0.5269212126731873,1500.0499267578125,1938.897705078125
A2,dual_branch,multitask,0.3,92,0,0.5687679052352905,3555.118408203125,1684.269287109375
A2,dual_branch,multitask,0.3,97,1,0.5262609124183655,900.0299682617188,1937.1549072265625
A2,dual_branch,multitask,0.3,102,0,0.5241151452064514,3150.10498046875,1943.6273193359375
A2,dual_branch,multitask,0.3,108,0,0.4902856945991516,1950.06494140625,1882.1842041015625
A2,dual_branch,multitask,0.3,117,0,0.5828842520713806,2985.099365234375,1645.4815673828125
A2,dual_branch,multitask,0.3,122,0,0.5159192681312561,1950.06494140625,1822.898193359375
A2,dual_branch,multitask,0.3,134,1,0.488066166639328,585.0194702148438,1879.212890625
A2,dual_branch,multitask,0.3,146,0,0.4736768305301666,1125.0374755859375,1964.777587890625
A2,dual_branch,multitask,0.3,172,0,0.49372947216033936,1710.056884765625,1800.7774658203125
A2,dual_branch,multitask,0.3,181,0,0.37388813495635986,3525.117431640625,2273.44580078125
A2,dual_branch,multitask,0.3,192,0,0.4871940314769745,3360.11181640625,1882.907958984375
A2,dual_branch,multitask,0.3,197,0,0.527618944644928,2115.0703125,1805.6165771484375
A2,dual_branch,multitask,0.3,201,0,0.49124017357826233,1215.0404052734375,1951.20703125
A2,dual_branch,multitask,0.3,204,0,0.5574938654899597,2040.06787109375,1779.9873046875
A2,dual_branch,multitask,0.3,207,0,0.47730517387390137,1815.0604248046875,1945.874267578125
A2,dual_branch,multitask,0.3,224,0,0.4907660484313965,1485.0494384765625,1832.96484375
A2,dual_branch,multitask,0.3,226,0,0.4939013421535492,2760.091796875,1881.1492919921875
A2,dual_branch,multitask,0.3,232,0,0.516368567943573,1665.055419921875,1828.04443359375
A2,dual_branch,multitask,0.3,242,0,0.5389483571052551,3555.118408203125,1925.164306640625
A2,dual_branch,multitask,0.3,260,0,0.48453542590141296,1890.06298828125,1880.5421142578125
A2,dual_branch,multitask,0.3,261,0,0.4446752369403839,1320.0439453125,2121.341552734375
A2,dual_branch,multitask,0.3,272,1,0.5400980114936829,435.0144958496094,1922.4046630859375
A2,dual_branch,multitask,0.3,283,0,0.4797127842903137,1650.054931640625,1961.6414794921875
A2,dual_branch,multitask,0.3,285,0,0.370076447725296,1545.0513916015625,2281.009765625
A2,dual_branch,multitask,0.3,286,1,0.4570687711238861,630.02099609375,2046.2696533203125
A2,dual_branch,multitask,0.3,287,0,0.4514797627925873,3660.121826171875,2076.04541015625
A2,dual_branch,multitask,0.3,289,0,0.4582950174808502,1590.052978515625,2004.436767578125
A2,dual_branch,multitask,0.3,308,0,0.4899071753025055,1830.0609130859375,1860.4576416015625
A2,dual_branch,multitask,0.3,312,0,0.5032727122306824,1665.055419921875,1956.6981201171875
A2,dual_branch,multitask,0.3,331,0,0.4896564483642578,3330.11083984375,1872.438232421875
A2,dual_branch,multitask,0.3,334,0,0.5169707536697388,2235.074462890625,1845.2901611328125
A2,dual_branch,multitask,0.3,362,0,0.8854591250419617,1500.0499267578125,719.77294921875
A2,dual_branch,multitask,0.3,368,0,0.37702450156211853,3375.1123046875,2292.423095703125
A2,dual_branch,multitask,0.3,370,0,0.49329861998558044,1950.06494140625,1950.521484375
A2,dual_branch,multitask,0.3,380,0,0.3952144384384155,3555.118408203125,2210.021240234375
