orig_dim,beta,abs_beta
60,437.9491027725966,437.9491027725966
163,-424.98742019502674,424.98742019502674
77,-369.7256303092709,369.7256303092709
212,-341.07462695437874,341.07462695437874
205,328.0091438250852,328.0091438250852
198,314.66319195701925,314.66319195701925
190,233.0338875829956,233.0338875829956
241,219.29906657763271,219.29906657763271
78,211.11308390216772,211.11308390216772
11,174.36141661506653,174.36141661506653
127,163.8982080230764,163.8982080230764
223,162.1136273742551,162.1136273742551
204,-148.96082575632505,148.96082575632505
237,-116.92110983075925,116.92110983075925
200,-114.80334323910004,114.80334323910004
148,-92.54411504978033,92.54411504978033
44,75.21668796526681,75.21668796526681
66,24.629294889051923,24.629294889051923
247,-21.75878397009498,21.75878397009498
249,15.562869023796274,15.562869023796274
