dim,beta,abs_beta
148,-72.49936818710708,72.49936818710708
198,41.91674104460552,41.91674104460552
6,37.09155269360935,37.09155269360935
66,-36.5335137522061,36.5335137522061
212,-33.78864245881672,33.78864245881672
127,33.51476386981471,33.51476386981471
60,33.03237205805422,33.03237205805422
26,32.50869908717217,32.50869908717217
168,-30.471715603180446,30.471715603180446
78,27.534731186704974,27.534731186704974
59,-23.344416667671084,23.344416667671084
202,22.99942448295469,22.99942448295469
204,-22.750543987328115,22.750543987328115
205,20.82285414673426,20.82285414673426
170,20.610626206999484,20.610626206999484
33,-19.248824863160607,19.248824863160607
190,18.022466701523076,18.022466701523076
95,17.537384675735222,17.537384675735222
64,17.332991725228307,17.332991725228307
29,17.197952164517663,17.197952164517663
241,17.142054736953526,17.142054736953526
163,-16.034451766627775,16.034451766627775
135,-15.286815588429933,15.286815588429933
18,-14.87167204324248,14.87167204324248
77,-14.770114162963523,14.770114162963523
48,13.709553179558888,13.709553179558888
249,13.674286847507055,13.674286847507055
174,-13.316455106952732,13.316455106952732
200,-12.999715629943713,12.999715629943713
247,12.863825657165853,12.863825657165853
191,-12.799957934852314,12.799957934852314
225,12.747456496238746,12.747456496238746
44,-12.567572994129723,12.567572994129723
37,-11.901257822398085,11.901257822398085
14,11.692264872571286,11.692264872571286
90,11.578362075154669,11.578362075154669
81,-11.414533593764846,11.414533593764846
34,11.218499522546864,11.218499522546864
239,11.17068582753931,11.17068582753931
128,-10.857619983964243,10.857619983964243
85,10.450738761427363,10.450738761427363
100,-10.355084565198768,10.355084565198768
134,-10.332590759387864,10.332590759387864
179,-10.237428882614473,10.237428882614473
40,10.0807083817519,10.0807083817519
13,9.932765382095353,9.932765382095353
11,9.863539003439145,9.863539003439145
223,9.604655478245824,9.604655478245824
226,9.250467313949729,9.250467313949729
237,-9.22389196873708,9.22389196873708
36,9.084123309074155,9.084123309074155
118,8.961088741001422,8.961088741001422
161,-8.859589857417026,8.859589857417026
105,8.332786006248396,8.332786006248396
130,-8.330737656815918,8.330737656815918
189,8.292328306060874,8.292328306060874
143,-7.933939259521716,7.933939259521716
0,7.856003534790407,7.856003534790407
142,7.375656753900945,7.375656753900945
206,-7.265859524720125,7.265859524720125
116,7.035381694198603,7.035381694198603
98,6.448509642846656,6.448509642846656
94,-6.3368171683738055,6.3368171683738055
52,-6.32961668925814,6.32961668925814
55,6.24379516676111,6.24379516676111
217,6.044418182764053,6.044418182764053
46,5.989777127565578,5.989777127565578
32,5.931374961350115,5.931374961350115
82,5.873186314637165,5.873186314637165
70,-5.490877402385649,5.490877402385649
27,-5.367581022047313,5.367581022047313
153,-5.19186554814465,5.19186554814465
88,5.171622624619911,5.171622624619911
210,5.170584905482208,5.170584905482208
152,5.1558664771669624,5.1558664771669624
68,-5.039453444357944,5.039453444357944
49,-4.985495119562876,4.985495119562876
192,4.749198416082142,4.749198416082142
5,4.59763228779195,4.59763228779195
122,-4.164131723344726,4.164131723344726
195,-3.7376039752921524,3.7376039752921524
4,-3.695889062450527,3.695889062450527
138,-3.6251684132026964,3.6251684132026964
106,-3.103478505761953,3.103478505761953
180,3.000046237755414,3.000046237755414
9,2.824513967871763,2.824513967871763
149,-2.803707805142093,2.803707805142093
28,2.6182673188677534,2.6182673188677534
255,2.6157397916028815,2.6157397916028815
230,-2.5674035992458735,2.5674035992458735
184,2.4755880202120584,2.4755880202120584
31,-2.4694819807045207,2.4694819807045207
20,2.1872484042030713,2.1872484042030713
115,-2.1114793044904605,2.1114793044904605
76,2.046683357321774,2.046683357321774
51,2.0201266849468213,2.0201266849468213
58,-1.7878645675355356,1.7878645675355356
213,1.7618065998930952,1.7618065998930952
103,-1.758609367091671,1.758609367091671
231,1.6960207808781083,1.6960207808781083
254,-1.6151051607541016,1.6151051607541016
154,-1.4567863460529547,1.4567863460529547
155,-1.3469098704620728,1.3469098704620728
182,1.219844099220806,1.219844099220806
147,1.0091746767674719,1.0091746767674719
252,-0.7939016007547383,0.7939016007547383
87,-0.5814292354815079,0.5814292354815079
12,-0.5767314722664604,0.5767314722664604
229,-0.42632302360277397,0.42632302360277397
224,-0.4074716207417968,0.4074716207417968
97,0.3834214193650891,0.3834214193650891
176,0.3621620055155051,0.3621620055155051
169,-0.291112345870222,0.291112345870222
150,-0.2853203223815187,0.2853203223815187
