subset_idx,orig_dim,beta,abs_beta
4,212,-73.58721715029849,73.58721715029849
6,60,71.0359034182488,71.0359034182488
0,148,-70.49656763171947,70.49656763171947
5,127,68.85130802928622,68.85130802928622
1,198,67.32402814839433,67.32402814839433
12,204,-64.30567969337937,64.30567969337937
7,26,52.151271535560106,52.151271535560106
28,200,-50.797454212553625,50.797454212553625
20,241,49.22743501364347,49.22743501364347
49,237,-47.82165565422458,47.82165565422458
24,77,-47.74201954364066,47.74201954364066
9,78,46.30788016022924,46.30788016022924
2,6,43.52234350454647,43.52234350454647
3,66,-42.24484318621564,42.24484318621564
21,163,-42.15150646036691,42.15150646036691
16,190,41.60009066551587,41.60009066551587
57,0,41.40934746251013,41.40934746251013
13,205,41.35232946608119,41.35232946608119
46,11,40.54848885763199,40.54848885763199
30,191,-39.03234490382709,39.03234490382709
53,105,38.52137348900138,38.52137348900138
43,179,-38.14655648429168,38.14655648429168
29,247,37.522904605538024,37.522904605538024
32,44,-36.94294993291286,36.94294993291286
10,59,-36.23433880117772,36.23433880117772
14,170,34.29858376168972,34.29858376168972
60,116,33.48577853119079,33.48577853119079
26,249,33.21921193800382,33.21921193800382
47,223,33.140519016069064,33.140519016069064
17,95,33.107150485168845,33.107150485168845
48,226,32.551555700836616,32.551555700836616
50,36,31.023511062670966,31.023511062670966
25,48,30.85882683030423,30.85882683030423
27,174,-29.032530451697365,29.032530451697365
70,27,-27.96353278198224,27.96353278198224
39,128,-27.50997438554483,27.50997438554483
62,94,-27.432758530633983,27.432758530633983
65,217,27.31526075196845,27.31526075196845
76,49,-26.902770322906086,26.902770322906086
81,4,-26.89915239624358,26.89915239624358
15,33,-26.342577832320227,26.342577832320227
45,13,26.060479607060365,26.060479607060365
54,130,-25.967687820456785,25.967687820456785
58,142,25.924072952802216,25.924072952802216
87,28,25.384464766199347,25.384464766199347
41,100,-25.346549007176925,25.346549007176925
61,98,25.211962523164765,25.211962523164765
22,135,-24.498618208152372,24.498618208152372
51,118,24.052126682603912,24.052126682603912
75,68,-23.77284204758367,23.77284204758367
8,168,-23.72206027184751,23.72206027184751
11,202,23.37301074310795,23.37301074310795
82,138,-23.365782290999263,23.365782290999263
23,18,-23.27853292476091,23.27853292476091
19,29,23.004651591223514,23.004651591223514
66,46,22.964821891653898,22.964821891653898
52,161,-22.65892056421451,22.65892056421451
55,189,22.589825402405914,22.589825402405914
31,225,22.40819830147329,22.40819830147329
44,40,21.681558224559318,21.681558224559318
42,134,-21.456285976781835,21.456285976781835
89,230,-21.31607985565201,21.31607985565201
71,153,-21.22782807372051,21.22782807372051
34,14,21.196436804190743,21.196436804190743
80,195,-21.04906655017755,21.04906655017755
18,64,19.883105674139596,19.883105674139596
37,34,19.87166531516964,19.87166531516964
33,37,-19.719486839785187,19.719486839785187
36,81,-18.548766211760434,18.548766211760434
106,87,-17.95806003151165,17.95806003151165
102,155,-17.826558765879938,17.826558765879938
73,210,17.26463582786717,17.26463582786717
88,255,16.492737358687062,16.492737358687062
56,143,-16.210784405424977,16.210784405424977
98,103,-16.09151935083512,16.09151935083512
38,239,15.870614125727808,15.870614125727808
100,254,-15.789111571628819,15.789111571628819
77,192,15.297864232908378,15.297864232908378
107,12,-15.179918651025943,15.179918651025943
109,224,-14.62929431985432,14.62929431985432
84,180,14.565729745708115,14.565729745708115
59,206,-14.164435206787266,14.164435206787266
108,229,-14.098913527519642,14.098913527519642
35,90,14.016834810627689,14.016834810627689
63,52,-13.689606355991366,13.689606355991366
105,252,-13.355565290607853,13.355565290607853
96,58,-13.082584820532006,13.082584820532006
68,82,12.691967083671779,12.691967083671779
79,122,-12.608349073992137,12.608349073992137
40,85,12.424102433673335,12.424102433673335
99,231,12.135091262650192,12.135091262650192
112,169,-11.685928952175985,11.685928952175985
85,9,10.535739905378858,10.535739905378858
115,108,10.366858358168747,10.366858358168747
111,176,8.852942701725166,8.852942701725166
64,55,8.476864340573803,8.476864340573803
95,51,8.370559545038475,8.370559545038475
92,20,8.221009278674735,8.221009278674735
78,5,7.994538532792573,7.994538532792573
104,147,7.99281408847738,7.99281408847738
74,152,7.903216084450205,7.903216084450205
90,184,7.543949139567126,7.543949139567126
93,115,-6.923490173783184,6.923490173783184
69,70,-6.327067756931895,6.327067756931895
101,154,-5.917185533135269,5.917185533135269
97,213,5.577462830368157,5.577462830368157
86,149,-5.235109504479658,5.235109504479658
113,150,-5.006293007243885,5.006293007243885
72,88,4.593577798806997,4.593577798806997
103,182,4.470519421746644,4.470519421746644
94,76,3.76879809344002,3.76879809344002
83,106,-3.577336119384963,3.577336119384963
114,62,1.5668896833338093,1.5668896833338093
91,31,-0.813702433594026,0.813702433594026
67,32,-0.27524044351626303,0.27524044351626303
110,97,0.18956830944020261,0.18956830944020261
