dataset,model_type,features,y_true,oof_prob
A2,GLM,GFP (top-20),1,0.248067
A2,GLM,GFP (top-20),0,0.355349
A2,GLM,GFP (top-20),0,0.237561
A2,GLM,GFP (top-20),1,0.386008
A2,GLM,GFP (top-20),0,0.413692
A2,GLM,GFP (top-20),0,0.219521
A2,GLM,GFP (top-20),0,0.251377
A2,GLM,GFP (top-20),0,0.272511
A2,GLM,GFP (top-20),1,0.420601
A2,GLM,GFP (top-20),0,0.394467
A2,GLM,GFP (top-20),0,0.273863
A2,GLM,GFP (top-20),0,0.295326
A2,GLM,GFP (top-20),0,0.502801
A2,GLM,GFP (top-20),1,0.384373
A2,GLM,GFP (top-20),0,0.32204
A2,GLM,GFP (top-20),0,0.383025
A2,GLM,GFP (top-20),0,0.35595
A2,GLM,GFP (top-20),0,0.260826
A2,GLM,GFP (top-20),0,0.442044
A2,GLM,GFP (top-20),0,0.536875
A2,GLM,GFP (top-20),0,0.53162
A2,GLM,GFP (top-20),0,0.301838
A2,GLM,GFP (top-20),0,0.355195
A2,GLM,GFP (top-20),0,0.286384
A2,GLM,GFP (top-20),0,0.409078
A2,GLM,GFP (top-20),0,0.069141
A2,GLM,GFP (top-20),0,0.259781
A2,GLM,GFP (top-20),0,0.812163
A2,GLM,GFP (top-20),1,0.10221
A2,GLM,GFP (top-20),0,0.344384
A2,GLM,GFP (top-20),0,0.387473
A2,GLM,GFP (top-20),1,0.405787
A2,GLM,GFP (top-20),0,0.366884
A2,GLM,GFP (top-20),0,0.371971
A2,GLM,GFP (top-20),0,0.357138
A2,GLM,GFP (top-20),0,0.516844
A2,GLM,GFP (top-20),0,0.385672
A2,GLM,GFP (top-20),0,0.369213
A2,GLM,GFP (top-20),0,0.80164
A2,GLM,GFP (top-20),0,0.612338
A2,GLM,GFP (top-20),0,0.252946
A2,GLM,GFP (top-20),0,0.373917
A2,GLM,GFP (top-20),0,0.282345
A2,GLM,GFP (top-20),0,0.393111
A2,GLM,GFP (top-20),0,0.30354
A2,GLM,GFP (top-20),0,0.396076
A2,GLM,GFP (top-20),1,0.579027
A2,GLM,GFP (top-20),1,0.407899
A2,GLM,GFP (top-20),0,0.399697
A2,GLM,GFP (top-20),0,0.343474
A2,GLM,GFP (top-20),0,0.22635
A2,GLM,GFP (top-20),0,0.290323
A2,GLM,GFP (top-20),0,0.539038
A2,GLM,GFP (top-20),0,0.333147
A2,GLM,GFP (top-20),0,0.608607
A2,GLM,GFP (top-20),0,0.163989
A2,GLM,GFP (top-20),0,0.554875
A2,GLM,GFP (top-20),0,0.305129
A2,GLM,GFP (top-20),0,0.504912
A2,GLM,GFP (top-20),0,0.366031
A2,GLM,GFP (top-20),0,0.529294
A2,GLM,GFP (top-20),0,0.268616
A2,GLM,GFP (top-20),0,0.249924
A2,GLM,GFP (top-20),0,0.507278
A2,GLM,GFP (top-20),0,0.102903
A2,GLM,GFP (top-20),0,0.327946
A2,GLM,GFP (top-20),0,0.391923
A2,GLM,GFP (top-20),1,0.507159
A2,GLM,GFP (top-20),0,0.219527
A2,GLM,GFP (top-20),0,0.575775
A2,GLM,GFP (top-20),0,0.310224
A2,GLM,GFP (top-20),0,0.309137
A2,GLM,GFP (top-20),0,0.377239
A2,GLM,GFP (top-20),0,0.417657
A2,GLM,GFP (top-20),0,0.41893
A2,GLM,GFP (top-20),0,0.450739
A2,GLM,GFP (top-20),0,0.338046
A2,GLM,GFP (top-20),0,0.100766
A2,GLM,GFP (top-20),0,0.549792
A2,GLM,GFP (top-20),0,0.401429
A2,GLM,GFP (top-20),0,0.337827
A2,GLM,GFP (top-20),0,0.353452
A2,GLM,GFP (top-20),1,0.33779
A2,GLM,GFP (top-20),0,0.361307
A2,GLM,GFP (top-20),0,0.385882
A2,GLM,GFP (top-20),0,0.346106
A2,GLM,GFP (top-20),0,0.433009
A2,GLM,GFP (top-20),0,0.395347
A2,GLM,GFP (top-20),0,0.199253
A2,GLM,GFP (top-20),0,0.396035
A2,GLM,GFP (top-20),0,0.490062
A2,GLM,GFP (top-20),0,0.349564
A2,GLM,GFP (top-20),0,0.328212
A2,GLM,GFP (top-20),0,0.355978
A2,GLM,GFP (top-20),0,0.188565
A2,GLM,GFP (top-20),0,0.351823
A2,GLM,GFP (top-20),0,0.201176
A2,GLM,GFP (top-20),0,0.440993
A2,GLM,GFP (top-20),0,0.324779
A2,GLM,GFP (top-20),0,0.56284
A2,GLM,GFP (top-20),0,0.527921
A2,GLM,GFP (top-20),0,0.369072
A2,GLM,GFP (top-20),0,0.438888
A2,GLM,GFP (top-20),0,0.344726
A2,GLM,GFP (top-20),0,0.30747
A2,GLM,GFP (top-20),0,0.588062
A2,GLM,GFP (top-20),0,0.486665
A2,GLM,GFP (top-20),0,0.268552
A2,GLM,GFP (top-20),0,0.415272
A2,GLM,GFP (top-20),0,0.452751
A2,GLM,GFP (top-20),0,0.427789
A2,GLM,GFP (top-20),0,0.414301
A2,GLM,GFP (top-20),0,0.499982
A2,GLM,GFP (top-20),0,0.17732
A2,GLM,GFP (top-20),0,0.399375
A2,GLM,GFP (top-20),0,0.474144
A2,GLM,GFP (top-20),1,0.394617
A2,GLM,GFP (top-20),0,0.659391
A2,GLM,GFP (top-20),0,0.64045
A2,GLM,GFP (top-20),0,0.420006
A2,GLM,GFP (top-20),0,0.313377
A2,GLM,GFP (top-20),0,0.762477
A2,GLM,GFP (top-20),0,0.720149
