dataset,model_type,features,n,n_fast,auc,ap,sens,spec,bal_acc,mcc
A2,GLM,GFP (top-20),291,60,0.63,0.291,0.55,0.68,0.615,0.193
A2,GLM,BF (top-20),291,60,0.695,0.371,0.567,0.723,0.645,0.248
A2,GLM,GFP+BF (top-40),291,60,0.709,0.366,0.533,0.74,0.637,0.238
A2,Network,GFP (256),291,60,0.624,0.277,0.533,0.684,0.609,0.183
A2,Network,BF (256),291,60,0.626,0.303,0.6,0.589,0.594,0.153
A2,Network,GFP+BF (512),291,60,0.634,0.305,0.433,0.745,0.589,0.158
A3,GLM,GFP (top-20),234,54,0.634,0.354,0.537,0.683,0.61,0.193
A3,GLM,BF (top-20),234,54,0.473,0.249,0.444,0.45,0.447,-0.089
A3,GLM,GFP+BF (top-40),234,54,0.574,0.307,0.426,0.65,0.538,0.066
A3,Network,GFP (256),234,54,0.586,0.35,0.556,0.6,0.578,0.132
A3,Network,BF (256),234,54,0.544,0.279,0.722,0.294,0.508,0.015
A3,Network,GFP+BF (512),234,54,0.603,0.333,0.593,0.628,0.61,0.188
A2+A3,GLM,GFP (top-20),525,114,0.618,0.321,0.5,0.681,0.591,0.156
A2+A3,GLM,BF (top-20),525,114,0.657,0.332,0.588,0.628,0.608,0.18
A2+A3,GLM,GFP+BF (top-40),525,114,0.691,0.379,0.553,0.693,0.623,0.211
A2+A3,Network,GFP (256),525,114,0.588,0.283,0.535,0.652,0.594,0.158
A2+A3,Network,BF (256),525,114,0.581,0.265,0.842,0.277,0.56,0.114
A2+A3,Network,GFP+BF (512),525,114,0.605,0.279,0.579,0.591,0.585,0.141
