dataset,model_type,features,y_true,oof_prob
A2,GLM,GFP (top-20),1,0.340853
A2,GLM,GFP (top-20),0,0.379353
A2,GLM,GFP (top-20),0,0.368078
A2,GLM,GFP (top-20),1,0.353513
A2,GLM,GFP (top-20),0,0.439794
A2,GLM,GFP (top-20),0,0.2735
A2,GLM,GFP (top-20),0,0.415674
A2,GLM,GFP (top-20),0,0.397778
A2,GLM,GFP (top-20),1,0.406827
A2,GLM,GFP (top-20),0,0.35345
A2,GLM,GFP (top-20),0,0.3848
A2,GLM,GFP (top-20),0,0.336489
A2,GLM,GFP (top-20),0,0.448252
A2,GLM,GFP (top-20),1,0.444917
A2,GLM,GFP (top-20),0,0.321077
A2,GLM,GFP (top-20),0,0.362507
A2,GLM,GFP (top-20),0,0.429324
A2,GLM,GFP (top-20),0,0.35182
A2,GLM,GFP (top-20),0,0.461339
A2,GLM,GFP (top-20),0,0.427956
A2,GLM,GFP (top-20),0,0.487706
A2,GLM,GFP (top-20),0,0.358854
A2,GLM,GFP (top-20),0,0.26019
A2,GLM,GFP (top-20),0,0.369521
A2,GLM,GFP (top-20),0,0.477027
A2,GLM,GFP (top-20),0,0.513992
A2,GLM,GFP (top-20),0,0.398297
A2,GLM,GFP (top-20),0,0.602113
A2,GLM,GFP (top-20),1,0.52612
A2,GLM,GFP (top-20),0,0.383646
A2,GLM,GFP (top-20),0,0.420458
A2,GLM,GFP (top-20),1,0.359776
A2,GLM,GFP (top-20),0,0.369608
A2,GLM,GFP (top-20),0,0.400119
A2,GLM,GFP (top-20),0,0.3245
A2,GLM,GFP (top-20),0,0.586486
A2,GLM,GFP (top-20),0,0.377354
A2,GLM,GFP (top-20),0,0.378262
A2,GLM,GFP (top-20),0,0.754542
A2,GLM,GFP (top-20),0,0.396767
A2,GLM,GFP (top-20),0,0.390392
A2,GLM,GFP (top-20),0,0.36162
A2,GLM,GFP (top-20),0,0.430868
A2,GLM,GFP (top-20),0,0.408953
A2,GLM,GFP (top-20),0,0.414516
A2,GLM,GFP (top-20),0,0.38888
A2,GLM,GFP (top-20),1,0.550473
A2,GLM,GFP (top-20),1,0.538217
A2,GLM,GFP (top-20),0,0.467877
A2,GLM,GFP (top-20),0,0.391454
A2,GLM,GFP (top-20),0,0.398611
A2,GLM,GFP (top-20),0,0.398414
A2,GLM,GFP (top-20),0,0.442518
A2,GLM,GFP (top-20),0,0.377363
A2,GLM,GFP (top-20),0,0.42072
A2,GLM,GFP (top-20),0,0.302913
A2,GLM,GFP (top-20),0,0.417288
A2,GLM,GFP (top-20),0,0.41672
A2,GLM,GFP (top-20),0,0.440574
A2,GLM,GFP (top-20),0,0.471418
A2,GLM,GFP (top-20),0,0.437627
A2,GLM,GFP (top-20),0,0.381631
A2,GLM,GFP (top-20),0,0.380123
A2,GLM,GFP (top-20),0,0.520995
A2,GLM,GFP (top-20),0,0.368836
A2,GLM,GFP (top-20),0,0.299962
A2,GLM,GFP (top-20),0,0.306861
A2,GLM,GFP (top-20),1,0.396769
A2,GLM,GFP (top-20),0,0.350184
A2,GLM,GFP (top-20),0,0.398783
A2,GLM,GFP (top-20),0,0.402363
A2,GLM,GFP (top-20),0,0.502103
A2,GLM,GFP (top-20),0,0.371751
A2,GLM,GFP (top-20),0,0.474302
A2,GLM,GFP (top-20),0,0.487168
A2,GLM,GFP (top-20),0,0.447109
A2,GLM,GFP (top-20),0,0.34659
A2,GLM,GFP (top-20),0,0.415363
A2,GLM,GFP (top-20),0,0.415683
A2,GLM,GFP (top-20),0,0.321617
A2,GLM,GFP (top-20),0,0.35049
A2,GLM,GFP (top-20),0,0.414712
A2,GLM,GFP (top-20),1,0.455232
A2,GLM,GFP (top-20),0,0.485278
A2,GLM,GFP (top-20),0,0.426707
A2,GLM,GFP (top-20),0,0.368319
A2,GLM,GFP (top-20),0,0.454741
A2,GLM,GFP (top-20),0,0.43102
A2,GLM,GFP (top-20),0,0.37085
A2,GLM,GFP (top-20),0,0.412762
A2,GLM,GFP (top-20),0,0.348346
A2,GLM,GFP (top-20),0,0.427608
A2,GLM,GFP (top-20),0,0.36446
A2,GLM,GFP (top-20),0,0.451839
A2,GLM,GFP (top-20),0,0.392367
A2,GLM,GFP (top-20),0,0.481375
A2,GLM,GFP (top-20),0,0.482993
A2,GLM,GFP (top-20),0,0.428227
A2,GLM,GFP (top-20),0,0.420685
A2,GLM,GFP (top-20),0,0.480648
A2,GLM,GFP (top-20),0,0.532219
A2,GLM,GFP (top-20),0,0.458236
A2,GLM,GFP (top-20),0,0.398293
A2,GLM,GFP (top-20),0,0.424499
A2,GLM,GFP (top-20),0,0.390625
A2,GLM,GFP (top-20),0,0.544944
A2,GLM,GFP (top-20),0,0.464124
A2,GLM,GFP (top-20),0,0.392404
A2,GLM,GFP (top-20),0,0.447329
A2,GLM,GFP (top-20),0,0.479245
A2,GLM,GFP (top-20),0,0.427602
A2,GLM,GFP (top-20),0,0.585278
A2,GLM,GFP (top-20),0,0.529339
A2,GLM,GFP (top-20),0,0.589271
A2,GLM,GFP (top-20),0,0.432357
A2,GLM,GFP (top-20),0,0.475161
A2,GLM,GFP (top-20),1,0.417827
A2,GLM,GFP (top-20),0,0.525621
A2,GLM,GFP (top-20),0,0.545408
A2,GLM,GFP (top-20),0,0.487239
A2,GLM,GFP (top-20),0,0.511253
A2,GLM,GFP (top-20),0,0.469354
A2,GLM,GFP (top-20),0,0.430155
A2,GLM,GFP (top-20),0,0.296058
A2,GLM,GFP (top-20),0,0.712976
A2,GLM,GFP (top-20),1,0.473381
A2,GLM,GFP (top-20),0,0.601423
A2,GLM,GFP (top-20),1,0.504148
A2,GLM,GFP (top-20),0,0.427009
A2,GLM,GFP (top-20),0,0.481994
A2,GLM,GFP (top-20),0,0.418359
A2,GLM,GFP (top-20),1,0.463666
A2,GLM,GFP (top-20),1,0.561943
A2,GLM,GFP (top-20),0,0.552174
A2,GLM,GFP (top-20),0,0.520663
A2,GLM,GFP (top-20),1,0.550228
A2,GLM,GFP (top-20),0,0.441579
A2,GLM,GFP (top-20),0,0.417298
A2,GLM,GFP (top-20),0,0.467402
A2,GLM,GFP (top-20),0,0.435639
A2,GLM,GFP (top-20),1,0.417108
A2,GLM,GFP (top-20),0,0.351376
A2,GLM,GFP (top-20),0,0.466051
A2,GLM,GFP (top-20),0,0.464265
A2,GLM,GFP (top-20),0,0.654815
A2,GLM,GFP (top-20),1,0.45066
A2,GLM,GFP (top-20),0,0.59249
A2,GLM,GFP (top-20),0,0.460225
A2,GLM,GFP (top-20),0,0.713789
A2,GLM,GFP (top-20),1,0.433244
A2,GLM,GFP (top-20),0,0.52196
A2,GLM,GFP (top-20),0,0.548723
A2,GLM,GFP (top-20),0,0.45
A2,GLM,GFP (top-20),0,0.457877
A2,GLM,GFP (top-20),0,0.45998
A2,GLM,GFP (top-20),1,0.291432
