subset,features,y_true,oof_prob
all_b2r,GFP (top-20),0,0.570123
all_b2r,GFP (top-20),0,0.150946
all_b2r,GFP (top-20),0,0.538737
all_b2r,GFP (top-20),0,0.523863
all_b2r,GFP (top-20),0,0.47653
all_b2r,GFP (top-20),0,0.510214
all_b2r,GFP (top-20),1,0.483142
all_b2r,GFP (top-20),0,0.462213
all_b2r,GFP (top-20),0,0.501219
all_b2r,GFP (top-20),0,0.551025
all_b2r,GFP (top-20),0,0.566524
all_b2r,GFP (top-20),0,0.526318
all_b2r,GFP (top-20),0,0.562928
all_b2r,GFP (top-20),0,0.313107
all_b2r,GFP (top-20),0,0.432278
all_b2r,GFP (top-20),0,0.504567
all_b2r,GFP (top-20),0,0.32044
all_b2r,GFP (top-20),0,0.573748
all_b2r,GFP (top-20),0,0.812686
all_b2r,GFP (top-20),1,0.539429
all_b2r,GFP (top-20),0,0.537585
all_b2r,GFP (top-20),0,0.377334
all_b2r,GFP (top-20),0,0.491165
all_b2r,GFP (top-20),0,0.410424
all_b2r,GFP (top-20),1,0.495014
all_b2r,GFP (top-20),1,0.565875
all_b2r,GFP (top-20),0,0.499648
all_b2r,GFP (top-20),0,0.544433
all_b2r,GFP (top-20),1,0.525998
all_b2r,GFP (top-20),0,0.446863
all_b2r,GFP (top-20),0,0.44855
all_b2r,GFP (top-20),0,0.394007
all_b2r,GFP (top-20),1,0.516361
all_b2r,GFP (top-20),0,0.474787
all_b2r,GFP (top-20),1,0.575566
all_b2r,GFP (top-20),0,0.407633
all_b2r,GFP (top-20),0,0.47596
all_b2r,GFP (top-20),0,0.567867
all_b2r,GFP (top-20),0,0.614062
all_b2r,GFP (top-20),0,0.596368
all_b2r,GFP (top-20),1,0.652927
all_b2r,GFP (top-20),1,0.50159
all_b2r,GFP (top-20),0,0.33603
all_b2r,GFP (top-20),0,0.546076
all_b2r,GFP (top-20),0,0.99505
all_b2r,GFP (top-20),1,0.491046
all_b2r,GFP (top-20),0,0.537229
all_b2r,GFP (top-20),0,0.579724
all_b2r,GFP (top-20),0,0.502812
all_b2r,GFP (top-20),0,0.468594
all_b2r,GFP (top-20),0,0.483191
all_b2r,GFP (top-20),1,0.443281
all_b2r,GFP (top-20),0,0.52556
all_b2r,GFP (top-20),0,0.48851
all_b2r,GFP (top-20),0,0.476986
all_b2r,GFP (top-20),0,0.750727
all_b2r,GFP (top-20),0,0.482803
all_b2r,GFP (top-20),0,0.471954
all_b2r,GFP (top-20),0,0.495291
all_b2r,GFP (top-20),0,0.237071
all_b2r,GFP (top-20),0,0.41343
all_b2r,GFP (top-20),0,0.521481
all_b2r,GFP (top-20),1,0.521829
all_b2r,GFP (top-20),0,0.420993
all_b2r,GFP (top-20),1,0.258144
all_b2r,GFP (top-20),0,0.523452
all_b2r,GFP (top-20),0,0.445893
all_b2r,GFP (top-20),0,0.406849
all_b2r,GFP (top-20),0,0.545468
all_b2r,GFP (top-20),0,0.42195
all_b2r,GFP (top-20),1,0.530087
all_b2r,GFP (top-20),0,0.447647
all_b2r,GFP (top-20),0,0.501164
all_b2r,GFP (top-20),0,0.537854
all_b2r,GFP (top-20),0,0.491243
all_b2r,GFP (top-20),0,0.497294
all_b2r,GFP (top-20),0,0.371292
all_b2r,GFP (top-20),1,0.327485
all_b2r,GFP (top-20),0,0.459709
all_b2r,GFP (top-20),0,0.448348
all_b2r,GFP (top-20),0,0.460471
all_b2r,GFP (top-20),0,0.363164
all_b2r,GFP (top-20),0,0.487694
all_b2r,GFP (top-20),0,0.41408
all_b2r,GFP (top-20),0,0.49103
all_b2r,GFP (top-20),0,0.587891
all_b2r,GFP (top-20),0,0.469699
all_b2r,GFP (top-20),0,0.538741
all_b2r,GFP (top-20),0,0.501272
all_b2r,GFP (top-20),0,0.502086
all_b2r,GFP (top-20),0,0.538628
all_b2r,GFP (top-20),0,0.428983
all_b2r,GFP (top-20),0,0.485429
all_b2r,GFP (top-20),0,0.349701
all_b2r,GFP (top-20),0,0.516191
all_b2r,GFP (top-20),0,0.552389
all_b2r,GFP (top-20),0,0.521063
all_b2r,GFP (top-20),0,0.510062
all_b2r,GFP (top-20),0,0.507373
all_b2r,GFP (top-20),0,0.422254
all_b2r,GFP (top-20),0,0.562073
all_b2r,GFP (top-20),0,0.292738
all_b2r,GFP (top-20),0,0.530851
all_b2r,GFP (top-20),1,0.491954
all_b2r,GFP (top-20),0,0.711581
all_b2r,GFP (top-20),1,0.382819
all_b2r,GFP (top-20),0,0.376473
all_b2r,GFP (top-20),0,0.511062
all_b2r,GFP (top-20),0,0.748981
all_b2r,GFP (top-20),0,0.458634
all_b2r,GFP (top-20),0,0.482794
all_b2r,GFP (top-20),0,0.5397
all_b2r,GFP (top-20),0,0.451758
all_b2r,GFP (top-20),0,0.509292
all_b2r,GFP (top-20),0,0.429626
all_b2r,GFP (top-20),0,0.47668
all_b2r,GFP (top-20),0,0.517706
all_b2r,GFP (top-20),0,0.436376
all_b2r,GFP (top-20),0,0.488804
all_b2r,GFP (top-20),0,0.527493
all_b2r,GFP (top-20),0,0.406067
all_b2r,GFP (top-20),0,0.655554
all_b2r,GFP (top-20),1,0.084181
all_b2r,GFP (top-20),0,0.514215
all_b2r,GFP (top-20),0,0.456193
all_b2r,GFP (top-20),0,0.519725
all_b2r,GFP (top-20),0,0.305331
all_b2r,GFP (top-20),0,0.408855
all_b2r,GFP (top-20),0,0.4695
all_b2r,GFP (top-20),1,0.498858
all_b2r,GFP (top-20),0,0.432413
all_b2r,GFP (top-20),0,0.449674
all_b2r,GFP (top-20),1,0.515234
all_b2r,GFP (top-20),0,0.414006
all_b2r,GFP (top-20),0,0.797887
all_b2r,GFP (top-20),0,0.44749
all_b2r,GFP (top-20),0,0.437346
all_b2r,GFP (top-20),0,0.438217
all_b2r,GFP (top-20),1,0.443832
all_b2r,GFP (top-20),0,0.475904
all_b2r,GFP (top-20),0,0.584858
all_b2r,GFP (top-20),0,0.52169
all_b2r,GFP (top-20),1,0.760341
all_b2r,GFP (top-20),1,0.489952
