dataset,arch,features,n,n_fast,auc,ap,sens,spec,bal_acc,mcc
A2,baseline,GFP (256),274,54,0.637,0.274,0.667,0.545,0.606,0.169
A2,slim_16,GFP (256),274,54,0.657,0.303,0.648,0.659,0.654,0.249
A2,slim_8,GFP (256),274,54,0.666,0.322,0.63,0.577,0.603,0.165
A2,slim_16_d06,GFP (256),274,54,0.663,0.321,0.704,0.577,0.64,0.224
A2,slim_idrop,GFP (256),274,54,0.645,0.278,0.444,0.745,0.595,0.166
A2,baseline,BF (256),274,54,0.607,0.259,0.519,0.618,0.568,0.111
A2,slim_16,BF (256),274,54,0.597,0.266,0.611,0.536,0.574,0.117
A2,slim_8,BF (256),274,54,0.582,0.26,0.648,0.495,0.572,0.114
A2,slim_16_d06,BF (256),274,54,0.588,0.276,0.426,0.595,0.511,0.017
A2,slim_idrop,BF (256),274,54,0.613,0.292,0.574,0.627,0.601,0.163
A2,baseline,GFP+BF (512),274,54,0.681,0.344,0.704,0.6,0.652,0.242
A2,slim_16,GFP+BF (512),274,54,0.674,0.357,0.667,0.627,0.647,0.236
A2,slim_8,GFP+BF (512),274,54,0.657,0.311,0.759,0.436,0.598,0.159
A2,slim_16_d06,GFP+BF (512),274,54,0.657,0.347,0.593,0.664,0.628,0.209
A2,slim_idrop,GFP+BF (512),274,54,0.665,0.331,0.593,0.682,0.637,0.226
A3,baseline,GFP (256),223,51,0.594,0.35,0.51,0.616,0.563,0.108
A3,slim_16,GFP (256),223,51,0.627,0.382,0.608,0.64,0.624,0.211
A3,slim_8,GFP (256),223,51,0.588,0.346,0.529,0.605,0.567,0.114
A3,slim_16_d06,GFP (256),223,51,0.611,0.371,0.51,0.628,0.569,0.118
A3,slim_idrop,GFP (256),223,51,0.624,0.362,0.49,0.698,0.594,0.166
A3,baseline,BF (256),223,51,0.569,0.303,0.49,0.599,0.545,0.076
A3,slim_16,BF (256),223,51,0.619,0.343,0.608,0.634,0.621,0.205
A3,slim_8,BF (256),223,51,0.597,0.307,0.627,0.535,0.581,0.136
A3,slim_16_d06,BF (256),223,51,0.606,0.345,0.608,0.541,0.574,0.125
A3,slim_idrop,BF (256),223,51,0.555,0.298,0.706,0.343,0.524,0.044
A3,baseline,GFP+BF (512),223,51,0.564,0.363,0.51,0.494,0.502,0.003
A3,slim_16,GFP+BF (512),223,51,0.599,0.369,0.431,0.64,0.535,0.061
A3,slim_8,GFP+BF (512),223,51,0.604,0.336,0.588,0.541,0.564,0.108
A3,slim_16_d06,GFP+BF (512),223,51,0.622,0.373,0.51,0.669,0.589,0.155
A3,slim_idrop,GFP+BF (512),223,51,0.629,0.382,0.471,0.674,0.573,0.127
A2+A3,baseline,GFP (256),497,105,0.637,0.317,0.629,0.612,0.62,0.198
A2+A3,slim_16,GFP (256),497,105,0.643,0.332,0.581,0.62,0.6,0.166
A2+A3,slim_8,GFP (256),497,105,0.64,0.317,0.657,0.533,0.595,0.155
A2+A3,slim_16_d06,GFP (256),497,105,0.642,0.318,0.562,0.658,0.61,0.184
A2+A3,slim_idrop,GFP (256),497,105,0.647,0.331,0.533,0.694,0.614,0.194
A2+A3,baseline,BF (256),497,105,0.605,0.323,0.724,0.408,0.566,0.111
A2+A3,slim_16,BF (256),497,105,0.657,0.345,0.581,0.635,0.608,0.179
A2+A3,slim_8,BF (256),497,105,0.625,0.32,0.505,0.712,0.608,0.187
A2+A3,slim_16_d06,BF (256),497,105,0.635,0.352,0.6,0.577,0.588,0.145
A2+A3,slim_idrop,BF (256),497,105,0.639,0.338,0.648,0.577,0.612,0.183
A2+A3,baseline,GFP+BF (512),497,105,0.658,0.309,0.61,0.638,0.624,0.205
A2+A3,slim_16,GFP+BF (512),497,105,0.671,0.335,0.562,0.622,0.592,0.153
A2+A3,slim_8,GFP+BF (512),497,105,0.67,0.344,0.638,0.615,0.626,0.208
A2+A3,slim_16_d06,GFP+BF (512),497,105,0.661,0.332,0.571,0.679,0.625,0.211
A2+A3,slim_idrop,GFP+BF (512),497,105,0.679,0.359,0.562,0.673,0.618,0.198
