dataset,model_type,features,y_true,oof_prob
A2,TopKNet,GFP (top-20),1,0.377484
A2,TopKNet,GFP (top-20),0,0.347239
A2,TopKNet,GFP (top-20),0,0.453711
A2,TopKNet,GFP (top-20),1,0.452711
A2,TopKNet,GFP (top-20),0,0.42721
A2,TopKNet,GFP (top-20),0,0.318259
A2,TopKNet,GFP (top-20),0,0.522633
A2,TopKNet,GFP (top-20),0,0.538074
A2,TopKNet,GFP (top-20),1,0.371754
A2,TopKNet,GFP (top-20),0,0.446316
A2,TopKNet,GFP (top-20),0,0.410475
A2,TopKNet,GFP (top-20),0,0.530578
A2,TopKNet,GFP (top-20),0,0.460647
A2,TopKNet,GFP (top-20),1,0.39194
A2,TopKNet,GFP (top-20),0,0.35087
A2,TopKNet,GFP (top-20),0,0.450265
A2,TopKNet,GFP (top-20),0,0.403448
A2,TopKNet,GFP (top-20),0,0.409149
A2,TopKNet,GFP (top-20),0,0.568857
A2,TopKNet,GFP (top-20),0,0.431593
A2,TopKNet,GFP (top-20),0,0.468194
A2,TopKNet,GFP (top-20),0,0.517998
A2,TopKNet,GFP (top-20),0,0.457571
A2,TopKNet,GFP (top-20),0,0.394226
A2,TopKNet,GFP (top-20),0,0.45413
A2,TopKNet,GFP (top-20),0,0.582343
A2,TopKNet,GFP (top-20),0,0.401778
A2,TopKNet,GFP (top-20),0,0.678338
A2,TopKNet,GFP (top-20),1,0.590472
A2,TopKNet,GFP (top-20),0,0.434887
A2,TopKNet,GFP (top-20),0,0.375927
A2,TopKNet,GFP (top-20),1,0.434185
A2,TopKNet,GFP (top-20),0,0.409076
A2,TopKNet,GFP (top-20),0,0.531193
A2,TopKNet,GFP (top-20),0,0.448752
A2,TopKNet,GFP (top-20),0,0.539333
A2,TopKNet,GFP (top-20),0,0.453194
A2,TopKNet,GFP (top-20),0,0.452683
A2,TopKNet,GFP (top-20),0,0.656327
A2,TopKNet,GFP (top-20),0,0.441889
A2,TopKNet,GFP (top-20),0,0.373456
A2,TopKNet,GFP (top-20),0,0.382901
A2,TopKNet,GFP (top-20),0,0.454079
