feature_index,feature_name,mean_abs_beta,mean_beta
40,emb_40,2.3361148576629196,2.3361148576629196
95,emb_95,1.6981701876397477,1.6981701876397477
43,emb_43,1.6477347170370131,1.6477347170370131
10,emb_10,1.6056910738169239,-1.6056910738169239
214,emb_214,1.5653619493647148,-1.5653619493647148
81,emb_81,1.5406673566701088,-1.5406673566701088
163,emb_163,1.5350889045139184,1.5350889045139184
119,emb_119,1.4386649461097685,1.4386649461097685
42,emb_42,1.3730178894089433,-1.3730178894089433
72,emb_72,1.3156451620510783,-1.3156451620510783
199,emb_199,1.2893753625723716,-1.2893753625723716
66,emb_66,1.26441532955329,1.26441532955329
128,emb_128,1.242439984441566,-1.242439984441566
251,emb_251,1.1908481708319067,-1.1908481708319067
194,emb_194,1.1541284467022042,-1.1541284467022042
104,emb_104,1.152011531366329,-1.152011531366329
233,emb_233,1.1357450586109323,1.1357450586109323
25,emb_25,1.13430455960206,1.13430455960206
70,emb_70,1.1089871608955906,1.1089871608955906
217,emb_217,1.0900945040841565,1.0900945040841565
