key,feature,label,direction,threshold,n_prod_eligible,pct_prod_cross,pct_nonprod_reach,gap
Mean.ch1_nuc__max,Mean.ch1_nuc,BFP nucleus ↑,max,3.2110716582,497,84.90945674044266,66.34615384615384,18.563302894288825
Mean.ch1__max,Mean.ch1,BFP cytoplasm ↑,max,1.3904254753999998,497,84.90945674044266,75.32051282051282,9.588943919929847
ch2_corrected__max,ch2_corrected,GFP (corrected) ↑,max,3.79227242166,497,84.90945674044266,77.24358974358975,7.6658669968529125
Area_cell__max,Area_cell,Cell area ↑,max,1003.5938216000001,497,84.90945674044266,79.48717948717949,5.422277253263175
Ctrst.ch4__min,Ctrst.ch4,BF contrast ↓min,min,0.5324655483999998,497,84.90945674044266,84.2948717948718,0.6145849455708685
Shape_index__min,Shape_index,Shape index ↓min,min,3.9212829038,497,84.90945674044266,87.17948717948718,-2.2700304390445183
Circ_nuc__min,Circ_nuc,Nucleus circularity ↓min,min,0.745812397,497,84.90945674044266,89.1025641025641,-4.193107362121438
Solidity__max,Solidity,Cell solidity ↑max,max,0.9863488598,497,84.90945674044266,90.06410256410257,-5.154645823659905
Area_nuc__max,Area_nuc,Nucleus area ↑max,max,224.40491694,497,84.90945674044266,90.38461538461539,-5.475158644172723
Solidity__min,Solidity,Cell solidity ↓min,min,0.9037808002,497,84.90945674044266,90.7051282051282,-5.79567146468554
Area_nuc__min,Area_nuc,Nucleus area ↓min,min,142.98797405999997,497,84.90945674044266,91.34615384615384,-6.4366971057111755
nuc_ratio__min,nuc_ratio,Nucleus/cell area ↓min,min,0.17187068303837819,497,84.90945674044266,91.66666666666666,-6.757209926223993
Circ_nuc__max,Circ_nuc,Nucleus circularity ↑max,max,0.8849946362000001,497,84.90945674044266,93.26923076923077,-8.35977402878811
Ctrst.ch4__max,Ctrst.ch4,BF contrast ↑max,max,0.000535,497,84.90945674044266,93.26923076923077,-8.35977402878811
gfp_bfp_ratio__max,gfp_bfp_ratio,GFP/BFP ratio ↑,max,1.3701144506955845,497,84.90945674044266,95.83333333333334,-10.923876592890679
nuc_ratio__max,nuc_ratio,Nucleus/cell area ↑max,max,0.40198661487267373,497,84.90945674044266,96.47435897435898,-11.564902233916314
P.stuck__max,P.stuck,P(stuck) ↑,max,,0,,,
