Track_ID,dataset,onset_frame,dist_nearest,n_infected_at_onset,n_within_50,n_within_100,n_within_200
A2_6,A2,10.0,,0,0,0,0
A2_9,A2,0.0,,0,0,0,0
A2_14,A2,14.0,852.1115409008468,3,0,0,0
A2_15,A2,14.0,635.0061233448207,3,0,0,0
A2_31,A2,13.0,1177.1861132042454,2,0,0,0
A2_38,A2,15.0,197.30666662821847,4,0,0,1
A2_43,A2,15.0,421.14982440263907,4,0,0,0
A2_46,A2,17.0,998.7503203593445,10,0,0,0
A2_49,A2,17.0,207.54187774917975,10,0,0,0
A2_50,A2,16.0,54.52998391859896,7,0,1,1
A2_53,A2,17.0,203.48314123241252,10,0,0,0
A2_54,A2,16.0,417.20622048509875,7,0,0,0
A2_55,A2,17.0,183.23750149443313,10,0,0,1
A2_56,A2,16.0,79.09781447586109,7,0,1,1
A2_57,A2,17.0,50.33235006949311,10,0,1,2
A2_60,A2,18.0,450.30145506233,14,0,0,0
A2_65,A2,18.0,219.57456386771065,14,0,0,0
A2_67,A2,18.0,255.72444623986556,14,0,0,0
A2_68,A2,18.0,219.31151583232787,14,0,0,0
A2_69,A2,18.0,575.3601059953503,14,0,0,0
A2_81,A2,19.0,193.74658414368025,20,0,0,1
A2_82,A2,19.0,124.0112152960866,20,0,0,1
A2_85,A2,19.0,434.34840021927977,20,0,0,0
A2_88,A2,19.0,49.66750779214054,20,1,2,3
A2_90,A2,16.0,1219.1077452530985,7,0,0,0
A2_92,A2,19.0,308.2260846203076,20,0,0,0
A2_96,A2,20.0,37.616649402281446,24,1,1,2
A2_97,A2,20.0,227.316868151396,24,0,0,0
A2_99,A2,20.0,301.394529840664,24,0,0,0
A2_102,A2,20.0,36.370851929597926,24,1,1,3
A2_107,A2,20.0,894.2295852916101,24,0,0,0
A2_108,A2,20.0,763.6722348978926,24,0,0,0
A2_112,A2,21.0,249.33781727729178,29,0,0,0
A2_113,A2,21.0,72.49505307421246,29,0,1,2
A2_117,A2,21.0,548.5635667073708,29,0,0,0
A2_122,A2,21.0,116.65323199521201,29,0,0,1
A2_123,A2,21.0,83.40843435255466,29,0,2,4
A2_124,A2,21.0,282.572310787711,29,0,0,0
A2_128,A2,21.0,194.18714151119391,29,0,0,1
A2_129,A2,21.0,450.3665848498725,29,0,0,0
A2_130,A2,21.0,425.3797019821121,29,0,0,0
A2_131,A2,21.0,145.1865749835834,29,0,0,1
A2_134,A2,22.0,291.8109955853808,37,0,0,0
A2_135,A2,22.0,42.30788562186327,37,1,1,1
A2_140,A2,22.0,168.5343738831435,37,0,0,1
A2_142,A2,22.0,301.0996597803743,37,0,0,0
A2_145,A2,22.0,167.10743418625833,37,0,0,1
A2_146,A2,22.0,168.98771371292924,37,0,0,1
A2_148,A2,22.0,25.230983623096677,37,1,2,2
A2_152,A2,22.0,27.630483743547714,37,1,1,1
A2_155,A2,23.0,94.52309048831243,44,0,1,1
A2_158,A2,23.0,198.9174946884778,44,0,0,2
A2_162,A2,23.0,665.6976146128762,44,0,0,0
A2_163,A2,23.0,124.26975242502353,44,0,0,1
A2_165,A2,23.0,69.80515503164621,44,0,4,6
A2_167,A2,23.0,87.83797238019838,44,0,1,4
A2_172,A2,23.0,381.25755397778727,44,0,0,0
A2_173,A2,23.0,97.31516976632162,44,0,1,2
A2_181,A2,23.0,235.48705327737156,44,0,0,0
A2_186,A2,23.0,294.8149390247068,44,0,0,0
A2_192,A2,24.0,276.2164182120225,55,0,0,0
A2_196,A2,24.0,299.3952868466696,55,0,0,0
A2_197,A2,24.0,248.39263280123572,55,0,0,0
A2_201,A2,24.0,52.296612250583195,55,0,1,2
A2_204,A2,24.0,76.71562736522147,55,0,1,5
A2_206,A2,24.0,197.98546290267822,55,0,0,1
A2_207,A2,24.0,220.2297661324942,55,0,0,0
A2_209,A2,24.0,113.99447707884742,55,0,0,1
A2_210,A2,24.0,74.42876576913409,55,0,1,2
A2_211,A2,24.0,550.7963542058322,55,0,0,0
A2_212,A2,24.0,115.71580709185042,55,0,0,1
A2_217,A2,25.0,261.65070911256146,65,0,0,0
A2_218,A2,25.0,120.88003772975448,65,0,0,3
A2_219,A2,25.0,62.22756861654905,65,0,1,4
A2_220,A2,25.0,138.27447549840377,65,0,0,2
A2_221,A2,25.0,249.01137528376663,65,0,0,0
A2_223,A2,25.0,227.18342015419216,65,0,0,0
A2_224,A2,25.0,190.9813824066185,65,0,0,1
A2_226,A2,25.0,125.175840376154,65,0,0,2
A2_227,A2,25.0,168.33587571185373,65,0,0,2
A2_230,A2,25.0,103.73417617208626,65,0,0,5
A2_232,A2,25.0,46.232163376875484,65,2,2,2
A2_233,A2,25.0,192.6575293861169,65,0,0,1
A2_234,A2,25.0,251.2249068384055,65,0,0,0
A2_235,A2,25.0,251.27384222923737,65,0,0,0
A2_238,A2,25.0,42.97411030021989,65,1,5,6
A2_239,A2,25.0,69.24456069145674,65,0,4,5
A2_241,A2,26.0,186.2692790899595,78,0,0,1
A2_242,A2,26.0,162.22992934605227,78,0,0,3
A2_248,A2,26.0,129.5066765274388,78,0,0,1
A2_249,A2,26.0,67.10399441707659,78,0,1,1
A2_250,A2,26.0,324.1240418061524,78,0,0,0
A2_252,A2,26.0,35.630371273285306,78,1,1,5
A2_254,A2,26.0,70.666397187818,78,0,1,1
A2_260,A2,26.0,113.20224511092478,78,0,0,3
A2_261,A2,26.0,28.246056370673944,78,2,2,3
A2_266,A2,26.0,370.2312540777377,78,0,0,0
A2_270,A2,26.0,102.8119271435357,78,0,0,2
A2_271,A2,26.0,125.77724867549543,78,0,0,3
A2_272,A2,26.0,155.49904490685464,78,0,0,1
A2_273,A2,26.0,115.69188951302587,78,0,0,4
A2_274,A2,26.0,115.08610104955837,78,0,0,3
A2_278,A2,26.0,198.94959066410038,78,0,0,1
A2_283,A2,27.0,36.23924887719504,92,1,1,3
A2_285,A2,27.0,158.9943390537956,92,0,0,1
A2_286,A2,27.0,140.93958772506414,92,0,0,2
A2_287,A2,27.0,387.13968753696696,92,0,0,0
A2_289,A2,27.0,261.25622509769727,92,0,0,0
A2_290,A2,27.0,72.0881408254489,92,0,1,1
A2_296,A2,27.0,261.5057451360422,92,0,0,0
A2_298,A2,27.0,28.714440382750645,92,1,3,6
A2_300,A2,27.0,139.65663689248953,92,0,0,1
A2_301,A2,27.0,244.7851305468803,92,0,0,0
A2_302,A2,27.0,57.356453017488136,92,0,1,3
A2_304,A2,27.0,167.97430238563712,92,0,0,1
A2_305,A2,27.0,23.161195067061374,92,1,1,5
A2_306,A2,27.0,282.5535140774502,92,0,0,0
A2_307,A2,27.0,64.41747690202452,92,0,1,5
A2_308,A2,27.0,154.7871847317826,92,0,0,2
A2_309,A2,29.0,134.0278781685694,124,0,0,2
A2_310,A2,28.0,178.133471424068,97,0,0,1
A2_312,A2,28.0,71.98486956769231,97,0,1,6
A2_323,A2,29.0,90.14937498882874,124,0,1,1
A2_325,A2,29.0,75.13750531006136,124,0,1,6
A2_326,A2,28.0,141.89176992944246,97,0,0,2
A2_327,A2,29.0,19.05213178716873,124,1,2,8
A2_331,A2,28.0,251.01070386549702,97,0,0,0
A2_332,A2,28.0,196.47008126193467,97,0,0,1
A2_334,A2,28.0,248.7762347940278,97,0,0,0
A2_335,A2,28.0,122.59803874179836,97,0,0,2
A2_341,A2,29.0,141.73156774498293,124,0,0,3
A2_344,A2,29.0,26.261493999558667,124,1,1,1
A2_345,A2,28.0,125.65521782598894,97,0,0,1
A2_348,A2,29.0,10.417810404215675,124,3,5,7
A2_360,A2,29.0,137.4829246912595,124,0,0,1
A2_361,A2,29.0,189.63597446496607,124,0,0,1
A2_362,A2,29.0,28.71167457386488,124,3,5,10
A2_367,A2,28.0,80.78319060291669,97,0,2,3
A2_368,A2,29.0,101.83261153249633,124,0,0,4
A2_369,A2,28.0,111.8892650218135,97,0,0,2
A2_370,A2,28.0,125.47113423225433,97,0,0,2
A2_374,A2,29.0,117.4748687247753,124,0,0,2
A2_376,A2,28.0,259.00959726438475,97,0,0,0
A2_377,A2,28.0,50.78188345854174,97,0,1,1
A2_380,A2,28.0,159.1800745555054,97,0,0,1
A2_384,A2,28.0,219.947910149325,97,0,0,0
A2_391,A2,28.0,223.8059325961297,97,0,0,0
A2_395,A2,28.0,6.92245291717424,97,1,1,1
A2_396,A2,29.0,148.66784921988005,124,0,0,1
A2_399,A2,28.0,256.765284928968,97,0,0,0
A2_401,A2,29.0,211.74545216586586,124,0,0,0
A2_402,A2,28.0,114.96456329234404,97,0,0,7
A2_404,A2,28.0,107.74013504689094,97,0,0,1
A2_407,A2,28.0,111.79652645912677,97,0,0,1
A2_409,A2,28.0,82.01419502625595,97,0,1,1
A2_415,A2,28.0,226.0403548005383,97,0,0,0
A2_416,A2,35.0,20.832242412270496,231,1,2,4
A2_417,A2,33.0,142.5807905235104,200,0,0,2
A2_418,A2,36.0,68.55405038764025,235,0,1,8
A2_422,A2,32.0,31.67635694508664,175,1,3,8
A2_426,A2,35.0,102.01259033863842,231,0,0,5
A2_427,A2,34.0,61.75461403812627,213,0,1,3
A2_428,A2,30.0,26.924356391281364,139,1,2,4
A2_430,A2,30.0,85.56438734659527,139,0,1,1
A2_432,A2,31.0,169.52480032858867,167,0,0,1
A2_437,A2,30.0,48.18164560565027,139,1,2,3
A2_440,A2,36.0,72.60747168250883,235,0,2,6
A2_441,A2,31.0,68.20404194105234,167,0,1,2
A2_444,A2,32.0,127.93551758091549,175,0,0,3
A2_445,A2,30.0,75.26155417469163,139,0,1,4
A2_447,A2,31.0,184.45938145735403,167,0,0,1
A2_448,A2,31.0,62.16876003805471,167,0,1,3
A2_449,A2,36.0,48.44909635533767,235,1,2,8
A2_453,A2,31.0,31.1372712657581,167,1,1,5
A2_455,A2,33.0,184.6307733750051,200,0,0,2
A2_458,A2,36.0,64.6356149610891,235,0,3,4
A2_459,A2,35.0,79.7417926504208,231,0,2,4
A2_460,A2,31.0,205.37815006239515,167,0,0,0
A2_461,A2,33.0,82.21793653251383,200,0,1,3
A2_462,A2,33.0,104.45792545709467,200,0,0,3
A2_465,A2,31.0,61.29520350626061,167,0,2,5
A2_466,A2,36.0,88.27901511000682,235,0,1,4
A2_470,A2,33.0,65.02715752097671,200,0,1,7
A2_476,A2,32.0,45.584354814503314,175,1,4,12
A2_477,A2,32.0,91.70459099929569,175,0,1,5
A2_478,A2,30.0,215.777039133895,139,0,0,0
A2_479,A2,34.0,142.39305858750114,213,0,0,1
A2_480,A2,36.0,45.31699390640145,235,1,3,5
A2_481,A2,36.0,147.75647960891592,235,0,0,2
A2_482,A2,32.0,204.8960443924111,175,0,0,0
A2_485,A2,36.0,113.47159245060871,235,0,0,2
A2_490,A2,32.0,71.30924949137564,175,0,2,4
A2_491,A2,34.0,66.65302211103011,213,0,1,4
A2_494,A2,31.0,122.5002971684333,167,0,0,5
A2_495,A2,35.0,107.29523742484585,231,0,0,5
A2_498,A2,33.0,28.173627056901026,200,1,1,8
A2_503,A2,32.0,80.43319148428415,175,0,1,4
A2_507,A2,30.0,109.94557760085074,139,0,0,3
A2_509,A2,32.0,48.11859981828102,175,1,1,3
A2_510,A2,32.0,72.94230699609072,175,0,1,3
A2_512,A2,31.0,307.9256012034811,167,0,0,0
A2_513,A2,32.0,6.555871986766489,175,1,5,6
A2_514,A2,33.0,146.505029514378,200,0,0,3
A2_518,A2,32.0,44.19370997562136,175,1,6,10
A2_519,A2,30.0,127.14834066678556,139,0,0,3
A2_522,A2,34.0,145.09174893595693,213,0,0,2
A2_523,A2,35.0,164.78454026724762,231,0,0,1
A2_528,A2,34.0,210.71611823873204,213,0,0,0
A2_529,A2,30.0,80.2306170727983,139,0,1,5
A2_530,A2,33.0,38.58909591783403,200,1,1,8
A2_535,A2,36.0,23.708880986957826,235,1,2,4
A2_536,A2,30.0,123.84824222427055,139,0,0,3
A2_538,A2,30.0,150.51148985250921,139,0,0,4
A2_539,A2,32.0,17.173165224959476,175,1,1,6
A2_540,A2,36.0,67.62853329620229,235,0,1,5
A2_541,A2,30.0,97.50081334689948,139,0,1,2
A2_544,A2,35.0,87.6353209000345,231,0,2,5
A2_546,A2,36.0,33.98454684164856,235,1,2,8
A2_549,A2,33.0,71.02477465846638,200,0,4,12
A2_550,A2,30.0,141.09438520685566,139,0,0,2
A2_554,A2,35.0,61.18301184752081,231,0,1,3
A2_557,A2,32.0,103.78870082536487,175,0,0,1
A2_559,A2,30.0,40.98759585126371,139,1,1,2
A2_561,A2,30.0,149.84545302152335,139,0,0,1
A2_562,A2,34.0,57.0426412206341,213,0,3,7
A2_573,A2,36.0,52.36415905718717,235,0,1,2
A2_574,A2,36.0,252.37273040822484,235,0,0,0
A2_575,A2,36.0,302.07384358414816,235,0,0,0
A2_578,A2,30.0,141.15211382917002,139,0,0,3
A2_579,A2,30.0,85.53677695230071,139,0,1,2
A2_580,A2,34.0,159.73657100269008,213,0,0,2
A2_589,A2,33.0,211.0372562422171,200,0,0,0
A2_596,A2,30.0,51.46463881304439,139,0,3,3
A2_597,A2,31.0,120.8577064614139,167,0,0,1
A2_599,A2,30.0,215.17998972070922,139,0,0,0
A2_601,A2,33.0,101.59141587517887,200,0,0,7
A2_602,A2,32.0,25.986911588893125,175,1,1,3
A2_604,A2,33.0,158.48585884763267,200,0,0,1
A2_605,A2,36.0,108.69361521577163,235,0,0,4
A2_606,A2,32.0,1.2301270463859018,175,1,1,3
A2_607,A2,34.0,34.77971589133416,213,1,1,2
A2_612,A2,32.0,122.18982872685783,175,0,0,1
A2_615,A2,31.0,172.26602021472763,167,0,0,1
A2_616,A2,33.0,93.1263857338777,200,0,2,8
A2_617,A2,31.0,136.3059931060916,167,0,0,3
A2_620,A2,30.0,327.87591161956715,139,0,0,0
A2_624,A2,36.0,87.82018652229469,235,0,1,4
A2_627,A2,34.0,149.56122415378442,213,0,0,2
A2_628,A2,34.0,165.92088600481614,213,0,0,2
A2_629,A2,32.0,47.6477070128493,175,1,2,2
A2_632,A2,36.0,135.17680389127918,235,0,0,3
A2_635,A2,36.0,19.300879341972152,235,2,2,5
A2_637,A2,32.0,74.65957149109286,175,0,1,2
A2_643,A2,30.0,188.32049492993676,139,0,0,1
A2_645,A2,31.0,123.84714086398431,167,0,0,2
A2_647,A2,36.0,74.65483679736802,235,0,2,4
A2_652,A2,33.0,3.343311736716398,200,3,4,10
A2_653,A2,33.0,27.430386996999346,200,1,1,1
A2_658,A2,32.0,31.371505436590162,175,1,1,6
A2_669,A2,31.0,61.41789570482545,167,0,1,2
A2_673,A2,30.0,163.6376220910643,139,0,0,1
A2_683,A2,31.0,54.07871753213288,167,0,2,4
A2_689,A2,31.0,299.1426018730747,167,0,0,0
A2_691,A2,30.0,106.39675931587848,139,0,0,4
A2_692,A2,31.0,152.26704160625997,167,0,0,2
A2_694,A2,31.0,21.962170217389797,167,1,2,5
A2_698,A2,31.0,153.14327156373997,167,0,0,2
A2_699,A2,30.0,88.48397190667599,139,0,1,3
A2_700,A2,31.0,85.0555891686189,167,0,2,5
A2_702,A2,37.0,65.15203475919083,254,0,1,6
A2_712,A2,38.0,37.322129462382854,271,1,2,5
A2_713,A2,38.0,72.72882784333694,271,0,1,6
A2_714,A2,41.0,49.277666487906025,323,1,1,7
A2_715,A2,40.0,54.12445236632256,305,0,3,4
A2_718,A2,39.0,6.22153347030255,289,3,4,10
A2_726,A2,39.0,123.6197136811037,289,0,0,4
A2_727,A2,37.0,74.88451541611427,254,0,1,4
A2_732,A2,40.0,160.0670950252013,305,0,0,1
A2_737,A2,38.0,21.545265220002758,271,1,1,6
A2_738,A2,39.0,124.21560564266281,289,0,0,3
A2_740,A2,32.0,16.40151113573719,175,1,1,2
A2_741,A2,41.0,82.733640048137,323,0,1,3
A2_742,A2,34.0,41.13906255054156,213,1,2,4
A2_744,A2,39.0,50.825243215646296,289,0,4,9
