feature,mean_coef,sd_coef
nuc_bfp_start,0.17931,0.09421
gfp_corr_end,0.17496,0.11358
nuc_area_mean,0.16607,0.11043
gfp_corr_start,0.13995,0.06325
gfp_ratio_slope,0.11034,0.04744
perim_end,0.09358,0.0568
area_slope_early,0.08456,0.04099
gfp_ratio_start,-0.07845,0.06377
nuc_bfp_slope_late,-0.07507,0.04332
circ_start,-0.06565,0.04637
gfp_snr_sd,0.06007,0.02881
area_mean,0.04427,0.03487
nuc_bfp_slope,-0.04424,0.04773
gfp_corr_mean,0.03716,0.03873
circ_end,-0.03258,0.02341
nuc_circ_mean,-0.03085,0.03448
gfp_corr_sd,0.02804,0.03118
perim_slope,0.02658,0.02539
solidity_mean,-0.0258,0.02001
nuc_ratio_mean,-0.02566,0.03275
gfp_corr_slope_late,0.02496,0.02748
nuc_bfp_sd,-0.02178,0.03104
nuc_ratio_slope,-0.01874,0.01683
nuc_bfp_mean,0.01792,0.01753
nuc_bfp_slope_early,-0.01714,0.01794
nuc_area_slope,-0.01639,0.03708
gfp_ratio_mean,0.01548,0.02565
area_slope,0.01535,0.01362
area_slope_late,0.01522,0.0157
circ_sd,0.01448,0.01712
nuc_bfp_end,0.01075,0.01512
bf_ctrst_sd,-0.00997,0.01386
bf_ctrst_mean,-0.00966,0.01892
perim_sd,-0.00938,0.01657
area_sd,-0.00908,0.02257
nuc_circ_sd,0.00788,0.01092
area_start,0.00726,0.01081
gfp_corr_slope_early,0.00578,0.01231
gfp_corr_slope,0.00504,0.01625
gfp_ratio_sd,0.00463,0.00617
gfp_ratio_max,0.00414,0.01631
circ_slope,0.00357,0.00488
shape_idx_mean,-0.00349,0.01257
perim_start,-0.00301,0.00928
solidity_sd,-0.00031,0.01922
