,gfp_corr_start,gfp_corr_mean,gfp_corr_sd,gfp_corr_slope,nuc_bfp_start,nuc_bfp_mean,nuc_bfp_sd,nuc_bfp_slope,nuc_area_mean,nuc_area_slope,nuc_circ_mean,nuc_circ_sd,nuc_ratio_mean,nuc_ratio_slope,area_start,area_mean,area_sd,area_slope,solidity_mean,solidity_sd,shape_idx_mean,gfp_snr_sd,bf_ctrst_mean,bf_ctrst_sd,gfp_ratio_start,gfp_ratio_mean,gfp_ratio_sd,gfp_ratio_slope,gfp_ratio_max,gfp_corr_end,nuc_bfp_end,gfp_corr_slope_early,gfp_corr_slope_late,nuc_bfp_slope_early,nuc_bfp_slope_late,area_slope_early,area_slope_late,circ_start,circ_end,circ_slope,circ_sd,perim_start,perim_end,perim_slope,perim_sd
gfp_corr_start,1.0,0.32,0.007,-0.209,0.218,0.185,0.06,-0.058,-0.075,-0.107,-0.131,-0.012,0.075,-0.101,0.05,-0.038,-0.055,-0.044,-0.149,0.057,0.125,-0.107,-0.083,0.036,0.153,0.039,0.013,-0.072,0.089,0.177,0.154,-0.187,-0.03,-0.044,-0.043,-0.082,0.026,-0.097,-0.114,0.0,-0.076,0.071,0.028,-0.04,-0.035
gfp_corr_mean,0.32,1.0,0.825,0.526,0.297,0.542,0.454,0.205,-0.077,-0.132,-0.099,0.116,0.107,-0.006,-0.07,-0.052,0.008,-0.162,-0.158,0.171,0.071,0.62,-0.166,-0.014,0.071,0.346,0.493,0.127,0.431,0.79,0.465,0.607,0.006,0.241,0.054,-0.049,-0.077,-0.172,0.061,0.24,0.161,-0.037,-0.063,-0.165,0.052
gfp_corr_sd,0.007,0.825,1.0,0.671,0.172,0.477,0.561,0.323,-0.102,-0.085,-0.105,0.232,0.086,0.075,-0.054,-0.127,0.054,-0.166,-0.13,0.195,0.026,0.763,-0.149,-0.012,0.062,0.315,0.62,0.142,0.468,0.744,0.441,0.587,0.12,0.282,0.144,-0.076,-0.106,-0.118,0.113,0.222,0.291,-0.022,-0.146,-0.165,0.118
gfp_corr_slope,-0.209,0.526,0.671,1.0,-0.002,0.327,0.415,0.494,0.029,-0.035,-0.043,0.19,-0.082,0.171,0.03,0.051,0.068,-0.13,-0.002,0.061,-0.034,0.544,-0.041,0.006,0.06,0.24,0.338,0.283,0.272,0.729,0.406,0.439,0.368,0.262,0.278,0.048,-0.213,-0.003,0.137,0.159,0.176,0.035,-0.081,-0.124,0.072
nuc_bfp_start,0.218,0.297,0.172,-0.002,1.0,0.657,0.318,-0.278,-0.082,-0.121,-0.108,-0.159,0.225,-0.239,-0.132,-0.057,0.075,0.036,-0.174,0.162,0.112,0.139,-0.095,-0.008,-0.712,-0.484,-0.096,0.375,-0.383,0.206,0.444,0.092,-0.048,-0.214,-0.197,0.062,-0.011,-0.174,-0.003,0.108,0.086,-0.105,0.006,0.029,0.064
nuc_bfp_mean,0.185,0.542,0.477,0.327,0.657,1.0,0.781,0.255,-0.084,-0.26,-0.161,-0.035,0.154,-0.132,-0.051,-0.03,0.068,-0.081,-0.119,0.11,0.073,0.356,-0.153,-0.071,-0.453,-0.5,0.05,0.118,-0.304,0.48,0.84,0.303,0.054,0.274,0.008,0.014,-0.084,-0.098,-0.029,0.061,0.092,-0.033,-0.024,-0.067,0.079
nuc_bfp_sd,0.06,0.454,0.561,0.415,0.318,0.781,1.0,0.45,-0.161,-0.219,-0.142,0.165,0.023,-0.016,0.017,-0.01,0.104,-0.089,-0.088,0.116,0.032,0.406,-0.147,-0.059,-0.198,-0.294,0.234,-0.01,-0.079,0.465,0.72,0.275,0.169,0.325,0.192,-0.011,-0.094,-0.023,0.01,0.028,0.161,0.028,-0.044,-0.073,0.122
nuc_bfp_slope,-0.058,0.205,0.323,0.494,-0.278,0.255,0.45,1.0,0.029,-0.149,-0.058,0.173,-0.14,0.131,0.126,0.1,0.087,-0.088,0.047,-0.023,-0.027,0.22,-0.022,0.002,0.286,0.043,0.107,-0.36,0.102,0.403,0.541,0.096,0.377,0.406,0.615,-0.023,-0.122,0.089,-0.042,-0.083,0.047,0.111,0.022,-0.049,0.098
nuc_area_mean,-0.075,-0.077,-0.102,0.029,-0.082,-0.084,-0.161,0.029,1.0,0.076,0.32,-0.284,0.157,-0.074,0.011,0.357,0.239,0.18,0.008,-0.045,0.016,-0.059,0.046,-0.007,0.025,0.028,-0.107,0.057,-0.033,0.003,0.0,-0.056,0.135,-0.093,0.108,0.206,-0.029,0.054,-0.031,-0.031,-0.058,-0.016,0.241,0.167,0.133
nuc_area_slope,-0.107,-0.132,-0.085,-0.035,-0.121,-0.26,-0.219,-0.149,0.076,1.0,0.115,-0.027,-0.144,0.339,0.041,0.013,-0.003,0.155,0.046,-0.042,-0.055,-0.055,0.027,0.016,0.072,0.15,-0.039,0.096,0.059,-0.057,-0.223,-0.03,0.064,-0.136,-0.018,0.022,0.088,0.075,0.016,-0.059,-0.012,0.033,0.043,0.13,0.0
nuc_circ_mean,-0.131,-0.099,-0.105,-0.043,-0.108,-0.161,-0.142,-0.058,0.32,0.115,1.0,-0.453,0.048,0.028,-0.018,0.15,0.095,0.031,0.104,-0.026,-0.192,-0.035,-0.029,-0.069,0.029,0.077,-0.051,0.063,0.019,-0.094,-0.147,-0.021,-0.006,-0.049,-0.014,0.085,-0.006,0.041,0.137,0.076,-0.024,-0.036,0.019,-0.009,-0.019
nuc_circ_sd,-0.012,0.116,0.232,0.19,-0.159,-0.035,0.165,0.173,-0.284,-0.027,-0.453,1.0,-0.12,0.121,0.055,-0.101,-0.065,-0.112,-0.006,0.013,0.003,0.169,-0.043,-0.02,0.218,0.229,0.29,-0.08,0.286,0.148,0.003,0.103,0.078,0.102,0.121,-0.09,-0.032,0.018,0.034,0.027,0.095,0.051,-0.081,-0.107,0.005
nuc_ratio_mean,0.075,0.107,0.086,-0.082,0.225,0.154,0.023,-0.14,0.157,-0.144,0.048,-0.12,1.0,-0.484,-0.453,-0.509,0.078,0.027,-0.325,0.425,0.163,0.174,-0.08,0.137,-0.233,-0.11,0.192,0.172,0.028,0.007,0.082,0.04,-0.133,-0.043,-0.12,-0.05,0.106,-0.222,0.103,0.276,0.436,-0.448,-0.34,0.039,0.202
nuc_ratio_slope,-0.101,-0.006,0.075,0.171,-0.239,-0.132,-0.016,0.131,-0.074,0.339,0.028,0.121,-0.484,1.0,0.439,0.051,-0.233,-0.455,0.313,-0.315,-0.255,0.025,0.027,-0.131,0.255,0.195,-0.043,-0.02,0.088,0.058,-0.087,0.01,0.129,0.076,0.092,-0.199,-0.244,0.282,0.105,-0.188,-0.211,0.428,-0.213,-0.463,-0.269
area_start,0.05,-0.07,-0.054,0.03,-0.132,-0.051,0.017,0.126,0.011,0.041,-0.018,0.055,-0.453,0.439,1.0,0.212,-0.322,-0.387,0.377,-0.458,-0.279,-0.131,0.037,-0.161,0.169,0.028,-0.086,-0.152,-0.021,-0.031,0.005,-0.043,0.062,0.07,0.081,-0.481,-0.051,0.502,-0.021,-0.328,-0.404,0.966,0.05,-0.389,-0.425
area_mean,-0.038,-0.052,-0.127,0.051,-0.057,-0.03,-0.01,0.1,0.357,0.013,0.15,-0.101,-0.509,0.051,0.212,1.0,0.493,0.226,-0.043,-0.069,0.171,-0.126,0.088,-0.032,0.021,-0.004,-0.189,-0.02,-0.091,0.055,0.035,-0.062,0.159,-0.042,0.123,0.438,-0.149,0.006,-0.228,-0.166,-0.177,0.202,0.668,0.219,0.309
area_sd,-0.055,0.008,0.054,0.068,0.075,0.068,0.104,0.087,0.239,-0.003,0.095,-0.065,0.078,-0.233,-0.322,0.493,1.0,0.487,-0.467,0.463,0.37,0.128,0.063,0.219,-0.112,-0.065,0.064,0.098,-0.009,0.086,0.082,-0.039,0.104,-0.015,0.063,0.568,-0.023,-0.196,-0.19,0.042,0.388,-0.325,0.429,0.486,0.879
area_slope,-0.044,-0.162,-0.166,-0.13,0.036,-0.081,-0.089,-0.088,0.18,0.155,0.031,-0.112,0.027,-0.455,-0.387,0.226,0.487,1.0,-0.282,0.237,0.284,-0.067,0.09,0.198,-0.099,-0.084,-0.073,0.01,-0.101,-0.11,-0.056,-0.08,-0.028,-0.089,-0.018,0.48,0.285,-0.162,-0.205,-0.016,0.152,-0.383,0.54,0.921,0.476
solidity_mean,-0.149,-0.158,-0.13,-0.002,-0.174,-0.119,-0.088,0.047,0.008,0.046,0.104,-0.006,-0.325,0.313,0.377,-0.043,-0.467,-0.282,1.0,-0.894,-0.769,-0.193,0.041,-0.284,0.143,0.034,-0.154,-0.128,-0.062,-0.155,-0.088,-0.068,-0.028,0.023,0.022,-0.254,-0.013,0.472,0.321,-0.206,-0.628,0.323,-0.192,-0.299,-0.568
solidity_sd,0.057,0.171,0.195,0.061,0.162,0.11,0.116,-0.023,-0.045,-0.042,-0.026,0.013,0.425,-0.315,-0.458,-0.069,0.463,0.237,-0.894,1.0,0.588,0.269,-0.031,0.262,-0.133,0.003,0.231,0.148,0.113,0.164,0.089,0.111,0.016,-0.019,0.001,0.231,0.012,-0.484,-0.128,0.339,0.748,-0.406,0.027,0.225,0.527
shape_idx_mean,0.125,0.071,0.026,-0.034,0.112,0.073,0.032,-0.027,0.016,-0.055,-0.192,0.003,0.163,-0.255,-0.279,0.171,0.37,0.284,-0.769,0.588,1.0,0.03,0.042,0.243,-0.118,-0.056,0.019,0.065,-0.016,0.106,0.074,-0.006,0.059,-0.049,0.033,0.3,-0.016,-0.455,-0.549,0.038,0.45,-0.217,0.365,0.353,0.558
