"feature","coef_original","coef_extended","coef_extended2","is_ext","is_ext2"
"nuc_bfp_mean",-215.764169700578,-228.433875987724,-193.17334859369,FALSE,FALSE
"nuc_bfp_end",0,-50.7590889156316,-45.6316563291379,TRUE,FALSE
"nuc_area_mean",-129.593905643589,-85.938099943228,-36.6529036233478,FALSE,FALSE
"gfp_corr_slope",-77.0105121173927,-58.9008571497952,-30.5978717398885,FALSE,FALSE
"area_slope_early",0,-62.3600625886373,-24.535782817602,TRUE,FALSE
"nuc_bfp_start",-60.5378381291748,-8.48406355614158,0,FALSE,FALSE
"nuc_circ_mean",56.4711871650128,17.9689481431279,0,FALSE,FALSE
"area_mean",-51.7331304809914,0,0,FALSE,FALSE
"nuc_bfp_slope",-42.5861111812935,0,0,FALSE,FALSE
"gfp_corr_sd",-37.8693899540553,0,0,FALSE,FALSE
"gfp_ratio_mean",34.7289735282807,0,0,FALSE,FALSE
"nuc_area_slope",30.5954022525248,0.934305875181634,0,FALSE,FALSE
"gfp_corr_start",13.0871379468774,0,0,FALSE,FALSE
"gfp_ratio_start",10.8839151600522,0,0,FALSE,FALSE
"nuc_bfp_sd",-10.1761378242689,-4.71719623791047,0,FALSE,FALSE
"solidity_sd",-9.10665271713871,0,0,FALSE,FALSE
"nuc_ratio_mean",-6.30442160102588,0,0,FALSE,FALSE
