"feature","coefficient"
"nuc_bfp_start",-120.672843059021
"nuc_area_mean",-113.596853772617
"gfp_corr_start",-73.7968589033673
"gfp_corr_end",-69.8225562458407
"nuc_circ_mean",60.5402369726254
"area_slope_early",-46.9048615700663
"solidity_mean",45.8233536286358
"area_slope_late",-44.1660745654107
"gfp_ratio_start",42.413101049162
"nuc_area_slope",34.5068773883363
"nuc_bfp_mean",-23.3520247469561
"nuc_ratio_slope",18.6012766815012
"bf_ctrst_mean",15.9512724352632
"gfp_snr_sd",-8.27971233681818
"gfp_ratio_slope",-0.157600732646906
