metric,subset,N,mean,median,SD,Q25,Q75,min,max
delay_green_to_blue (min),A2,486,50.84,15.0,70.93,0.0,90.0,0.0,300.01
delay_green_to_red (min),A2,291,1852.59,1785.06,871.0,1260.04,2497.58,255.01,3855.13
delay_blue_to_red (min),A2,291,1803.2,1740.06,860.56,1215.04,2445.08,105.0,3660.12
red_slope (intensity/min),A2,223,0.0,0.0,0.0,-0.0,0.0,-0.01,0.01
abs_gfp_onset_min (min),A2,486,1035.4,862.53,583.59,555.02,1500.05,195.01,2595.09
green_onset_min (min),A2,486,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gfp_corr_slope,A2,486,0.09,0.05,0.12,0.01,0.13,-0.15,0.84
nuc_bfp_slope,A2,477,0.06,0.03,0.15,0.0,0.09,-0.35,1.82
gfp_ratio_slope,A2,477,-0.01,-0.01,0.23,-0.04,0.03,-3.86,2.06
gfp_corr_start,A2,486,1.38,1.28,0.45,1.03,1.7,0.0,2.46
nuc_bfp_start,A2,486,1.57,1.17,1.09,1.01,1.69,0.68,10.87
delay_green_to_blue (min),A3,375,51.68,0.0,74.44,0.0,90.0,0.0,285.01
delay_green_to_red (min),A3,234,1825.39,1807.57,810.07,1230.05,2456.34,255.01,3630.14
delay_blue_to_red (min),A3,234,1769.3,1732.57,800.74,1155.04,2351.34,255.01,3630.14
red_slope (intensity/min),A3,185,0.0,0.0,0.0,-0.0,0.0,-0.05,0.01
abs_gfp_onset_min (min),A3,375,1033.52,840.03,591.75,570.02,1425.05,210.01,2625.1
green_onset_min (min),A3,375,0.04,0.0,0.77,0.0,0.0,0.0,15.0
gfp_corr_slope,A3,375,0.1,0.06,0.15,0.01,0.16,-0.35,0.81
nuc_bfp_slope,A3,364,0.07,0.04,0.19,-0.0,0.11,-0.74,1.69
gfp_ratio_slope,A3,364,-0.03,-0.0,0.3,-0.04,0.03,-3.55,1.62
gfp_corr_start,A3,375,1.36,1.28,0.43,1.05,1.64,0.0,2.44
nuc_bfp_start,A3,375,1.85,1.27,1.61,1.03,1.86,0.64,13.16
delay_green_to_blue (min),all,861,51.2,0.0,72.44,0.0,90.0,0.0,300.01
delay_green_to_red (min),all,525,1840.47,1785.06,843.7,1260.04,2475.09,255.01,3855.13
delay_blue_to_red (min),all,525,1788.09,1740.06,833.81,1215.04,2415.08,105.0,3660.12
red_slope (intensity/min),all,408,0.0,0.0,0.0,-0.0,0.0,-0.05,0.01
abs_gfp_onset_min (min),all,861,1034.58,855.03,586.82,570.02,1470.05,195.01,2625.1
green_onset_min (min),all,861,0.02,0.0,0.51,0.0,0.0,0.0,15.0
gfp_corr_slope,all,861,0.09,0.05,0.14,0.01,0.14,-0.35,0.84
nuc_bfp_slope,all,841,0.07,0.03,0.17,-0.0,0.1,-0.74,1.82
gfp_ratio_slope,all,841,-0.02,-0.0,0.27,-0.04,0.03,-3.86,2.06
gfp_corr_start,all,861,1.37,1.28,0.44,1.04,1.68,0.0,2.46
nuc_bfp_start,all,861,1.69,1.22,1.35,1.01,1.74,0.64,13.16
