feature,mean_abs_shap,mean_shap,gain
nuc_bfp_start,0.28255,-0.0988,0.04348
nuc_area_mean,0.21491,-0.06873,0.0312
gfp_corr_start,0.20349,-0.10757,0.0295
area_mean,0.17913,-0.08266,0.0297
gfp_ratio_slope,0.17695,-0.06636,0.03598
nuc_bfp_slope_early,0.1626,-0.04703,0.05221
circ_sd,0.16018,-0.08766,0.01497
nuc_bfp_sd,0.1518,-0.02717,0.01924
nuc_circ_sd,0.13938,-0.05953,0.02268
gfp_corr_mean,0.12444,-0.04887,0.0
gfp_ratio_start,0.12391,-0.0539,0.0
gfp_ratio_mean,0.12068,-0.07804,0.03356
circ_end,0.11868,-0.05703,0.02418
perim_end,0.1168,-0.04757,0.03904
gfp_corr_sd,0.11661,-0.06332,0.03562
bf_ctrst_sd,0.11648,-0.05346,0.02922
nuc_circ_mean,0.1129,-0.03872,0.02758
gfp_corr_slope,0.11186,-0.05351,0.02885
gfp_corr_end,0.10851,-0.04162,0.0105
nuc_bfp_slope_late,0.10705,-0.05922,0.01808
circ_slope,0.10566,-0.05411,0.00394
nuc_ratio_slope,0.10539,-0.03449,0.02865
perim_slope,0.10227,-0.03699,0.01733
nuc_area_slope,0.0989,-0.04541,0.02486
circ_start,0.09423,-0.0497,0.03084
perim_sd,0.09201,-0.03531,0.03055
nuc_bfp_slope,0.09108,-0.05204,0.02028
solidity_sd,0.09043,-0.03556,0.03915
bf_ctrst_mean,0.08412,-0.02883,0.03115
solidity_mean,0.08045,-0.03538,0.01595
gfp_snr_sd,0.08023,-0.0287,0.01342
perim_start,0.07765,-0.02474,0.02013
gfp_ratio_sd,0.07761,-0.02506,0.01322
nuc_bfp_mean,0.07639,-0.03547,0.02103
area_start,0.07207,-0.03195,0.02517
gfp_ratio_max,0.07114,-0.02713,0.00466
area_slope_early,0.067,-0.02817,0.0
area_sd,0.06523,-0.03192,0.01082
nuc_ratio_mean,0.06459,-0.025,0.0
shape_idx_mean,0.0643,-0.02165,0.0
gfp_corr_slope_late,0.06197,-0.02206,0.02726
gfp_corr_slope_early,0.05941,-0.01654,0.03907
area_slope,0.05859,-0.03928,0.01144
nuc_bfp_end,0.05681,-0.02759,0.04547
area_slope_late,0.04766,-0.02534,0.0
