feature,mean_abs_shap,mean_shap,gain
nuc_bfp_start,0.14516,-0.04055,0.05606
nuc_bfp_sd,0.0923,-0.01532,0.0
nuc_circ_sd,0.08871,-0.04168,0.02209
gfp_corr_end,0.08592,-0.02459,0.00699
area_mean,0.07808,-0.03054,0.04223
bf_ctrst_sd,0.07315,-0.02546,0.00838
perim_slope,0.07258,-0.01505,0.0
nuc_bfp_slope,0.0711,-0.01408,0.05674
perim_start,0.07015,-0.01011,0.0
gfp_corr_start,0.06717,-0.02228,0.01331
circ_start,0.06462,-0.01974,0.02448
circ_sd,0.06245,-0.02105,0.00902
nuc_area_mean,0.05611,-0.02078,0.05377
gfp_ratio_mean,0.05247,-0.01339,0.04243
nuc_bfp_slope_early,0.04916,-0.01513,0.04636
nuc_circ_mean,0.04528,-0.01126,0.00625
gfp_corr_mean,0.04496,-0.00823,0.00488
gfp_corr_slope,0.04484,-0.00814,0.06772
gfp_corr_sd,0.03848,-0.01595,0.05912
gfp_ratio_sd,0.03833,-0.00706,0.0
perim_sd,0.03567,-0.00793,0.02608
perim_end,0.03554,-0.01118,0.0099
gfp_ratio_start,0.03231,-0.01447,0.01775
area_slope_early,0.03217,-0.00679,0.00699
gfp_ratio_max,0.03197,-0.01246,0.00883
nuc_ratio_slope,0.03142,-0.00913,0.0138
nuc_bfp_mean,0.03037,-0.01234,0.03711
nuc_bfp_slope_late,0.02715,-0.00916,0.02492
dist_nearest,0.02625,-0.00717,0.02524
gfp_ratio_slope,0.02451,-0.00971,0.0394
solidity_mean,0.02241,-0.00973,0.0
solidity_sd,0.0202,-0.00757,0.0
nuc_bfp_end,0.02003,-0.01056,0.01056
circ_slope,0.01767,-0.00735,0.01432
area_slope_late,0.01693,-0.00716,0.0
area_sd,0.01552,-0.00395,0.00759
bf_ctrst_mean,0.01494,-0.00135,0.00631
nuc_ratio_mean,0.01477,-0.0063,0.03331
circ_end,0.01454,-0.00664,0.04671
shape_idx_mean,0.01336,-0.00382,0.01563
gfp_corr_slope_late,0.01322,-0.0049,0.0511
gfp_snr_sd,0.01317,-0.00474,0.02003
area_start,0.01253,-0.0028,0.00645
nuc_area_slope,0.01215,-0.00561,0.01674
area_slope,0.01044,-0.00479,0.0
gfp_corr_slope_early,0.00925,-0.00364,0.03018
n_within_100,0.00635,-0.00263,0.01121
